procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 13526120   2168 1519896    0    0    31  4289 1672 2642  9  2 83  5  0
 0  0      0 13525868   2168 1519856    0    0     0    76 2065 3375  4  2 94  0  0
 0  0      0 13525868   2168 1519856    0    0     0    24 2449 3881  5  1 93  0  0
 0  0      0 13525868   2168 1519856    0    0     0   236 3355 5512  9  1 90  0  0
 3  0      0 13525868   2168 1519856    0    0     0   460 3117 5073  8  1 91  1  0
 0  0      0 13525868   2168 1519856    0    0     0  1696 3179 5119  5  0 94  1  0
 0  0      0 13525868   2168 1519856    0    0     0    16 2906 4729  6  1 93  0  0
 0  0      0 13525868   2168 1519856    0    0     0    12 3057 4991  5  1 95  0  0
 0  0      0 13525868   2168 1519856    0    0     0    24 3494 5752 10  0 90  1  0
 0  0      0 13525868   2168 1519856    0    0     0     8 2535 4267  5  2 93  0  0
 0  0      0 13525868   2168 1519856    0    0     0    16 3750 6178 10  1 89  0  0
 0  0      0 13525868   2168 1519856    0    0     0    24 2500 4156  3  1 97  0  0
 0  0      0 13526876   2168 1519856    0    0     0    20 3424 5360  7  1 92  1  0
 0  0      0 13526876   2168 1519856    0    0     0   244 3002 4985  5  3 92  0  0
 0  0      0 13526652   2168 1519856    0    0     0   468 3363 5457  8  2 90  1  0
 1  0      0 13526652   2168 1519864    0    0     0  1656 3018 4850  8  1 91  1  0
 2  0      0 13526652   2168 1519868    0    0     0    20 2957 4784  7  1 92  0  0
 0  1      0 13526652   2168 1519868    0    0     0   132 3545 5890  7  0 91  2  0
 0  0      0 13526652   2168 1519868    0    0     0    60 2703 4520  8  1 91  0  0
 0  0      0 13526652   2168 1519868    0    0     0    64 3569 5844  8  1 91  1  0
 3  0      0 13526652   2168 1519868    0    0     0    20 2717 4501  4  1 95  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13526652   2168 1519868    0    0     0     8 3485 5752  7  0 93  0  0
 0  0      0 13526652   2168 1519868    0    0     0   104 2575 4265  4  1 95  0  0
 0  0      0 13526652   2168 1519868    0    0     0   280 3902 6338 12  2 86  0  0
 0  0      0 13526652   2168 1519868    0    0     0   464 2686 4504 10  0 89  0  0
 3  0      0 13526428   2168 1519868    0    0     0  1700 3302 5236 13  1 86  1  0
 0  0      0 13526428   2168 1519868    0    0     0    68 2845 4709  3  0 97  1  0
 0  0      0 13526428   2168 1519868    0    0     0     8 3544 5845  9  2 90  0  0
 0  0      0 13526428   2168 1519872    0    0     0     8 2260 3787  7  0 93  0  0
 0  0      0 13526428   2168 1519872    0    0     0    16 3326 5399  9  0 90  0  0
 0  0      0 13526428   2168 1519872    0    0     0  4820 2743 4577  3  0 96  1  0
 3  0      0 13526428   2168 1519872    0    0     0    28 3406 5528  7  1 93  0  0
 0  0      0 13526428   2168 1519872    0    0     0    16 2803 4554 10  1 89  0  0
 0  0      0 13526428   2168 1519872    0    0     0   272 3472 5784 10  1 88  0  0
 0  0      0 13526428   2168 1519872    0    0     0   464 2954 4862  6  1 92  1  0
 0  0      0 13526428   2168 1519872    0    0     0  3492 3314 5290  9  1 89  2  0
 0  0      0 13537328   2168 1519872    0    0     0    16 2934 4742  8  2 90  0  0
 0  0      0 13537328   2168 1519872    0    0     0    24 2969 4910  9  0 91  0  0
 0  0      0 13537580   2168 1519872    0    0     0    32 2916 4769  5  1 93  1  0
 0  0      0 13537580   2168 1519872    0    0     0     0 2822 4685  4  3 94  0  0
 0  0      0 13537580   2168 1519872    0    0     0     8 2721 4408  8  1 91  0  0
 0  0      0 13537580   2168 1519876    0    0     0    36 3819 6157  7  1 91  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13537580   2168 1519880    0    0     0    20 3065 5073 10  1 88  0  0
 0  0      0 13537580   2168 1519884    0    0     0   248 3711 6377  4  1 95  0  0
 0  0      0 13537580   2168 1519884    0    0     0   516 3538 5999  7  2 90  1  0
 0  0      0 13537356   2168 1519884    0    0     0  1656 3326 5411  8  1 90  1  0
 0  0      0 13537356   2168 1519884    0    0     0     8 3169 5221  4  0 96  0  0
 0  0      0 13537356   2168 1519884    0    0     0    20 3923 6622 10  2 88  0  0
 2  0      0 13537356   2168 1519884    0    0     0    28 3499 6087 10  1 90  0  0
 0  0      0 13537356   2168 1519884    0    0     0    60 3556 5850  8  0 91  1  0
 2  0      0 13537356   2168 1519884    0    0     0    24 2913 4771  7  1 92  0  0
 0  0      0 13537356   2168 1519884    0    0     0    40 3015 4996  7  1 92  1  0
 0  0      0 13537356   2168 1519884    0    0     0    84 2862 4756  3  0 97  0  0
 0  0      0 13537356   2168 1519884    0    0     0   260 3339 5647  5  1 94  1  0
 0  0      0 13537356   2168 1519888    0    0     0   464 3259 5555  1  1 98  0  0
 0  0      0 13537104   2168 1519892    0    0     0  1664 2913 4722  5  1 93  1  0
 0  0      0 13537104   2168 1519892    0    0     0    60 3269 5328  5  1 94  1  0
 0  0      0 13537104   2168 1519892    0    0     0     4 3016 4918  9  1 90  0  0
 0  0      0 13537104   2168 1519892    0    0     0    16 2958 4887  4  0 95  1  0
 0  0      0 13537104   2168 1519892    0    0     0    28 3357 5481  8  1 90  0  0
 0  0      0 13537104   2168 1519892    0    0     0    32 3401 5477  4  2 94  0  0
 0  0      0 13537104   2168 1519892    0    0     0    36 3081 5071  8  1 91  0  0
 0  0      0 13537104   2168 1519892    0    0     0    40 3085 5069  9  3 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 13537104   2168 1519892    0    0     0   232 3158 5200  4  1 95  1  0
 3  0      0 13537104   2168 1519892    0    0     0   460 3186 5294  4  1 95  1  0
 0  0      0 13537104   2168 1519892    0    0     0  1692 3451 5571  7  1 92  1  0
 2  0      0 13537104   2168 1519892    0    0     0    12 2993 4925  8  0 92  0  0
 0  0      0 13537104   2168 1519892    0    0     0     8 3142 5050  8  1 91  0  0
 0  0      0 13537104   2168 1519896    0    0     0   324 4016 6405 10  1 87  2  0
 0  0      0 13536360   2168 1519896    0    0     0   288 4347 7177 10  3 85  2  0
 0  0      0 13536360   2168 1519900    0    0     0    12 2932 4792  7  1 92  0  0
 0  0      0 13536136   2168 1519900    0    0     0   100 3495 5736  9  0 90  1  0
 3  0      0 13535464   2168 1519900    0    0     0   136 3658 5939  9  2 89  1  0
 0  0      0 13535016   2168 1519900    0    0     0   364 3921 6440  6  1 92  1  0
 0  0      0 13534568   2168 1519900    0    0     0   580 3873 6274  7  2 90  1  0
 0  0      0 13534568   2168 1519900    0    0     0  1912 4053 6608 14  1 82  2  0
 0  0      0 13534568   2168 1519900    0    0     0   116 3428 5624  6  1 93  1  0
 0  0      0 13534568   2168 1519900    0    0     0    20 3012 4950  5  2 93  0  0
 0  0      0 13534568   2168 1519900    0    0     0    16 2788 4593  6  2 92  0  0
 0  0      0 13534568   2168 1519900    0    0     0    16 3273 5288  8  2 91  0  0
 0  0      0 13534568   2168 1519900    0    0     0    20 3193 5139  7  1 92  1  0
 0  0      0 13534568   2168 1519908    0    0     0     8 3379 5472 10  1 89  0  0
 0  0      0 13534344   2168 1519908    0    0     0   392 3236 4948 13  1 84  3  0
 0  1      0 13534344   2168 1519908    0    0     0   276 3856 6296  6  1 93  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13534344   2168 1519912    0    0     0   608 3466 5668  7  2 90  2  0
 2  0      0 13534344   2168 1519912    0    0     0  1828 4118 6606  8  3 87  2  0
 0  0      0 13534344   2168 1519912    0    0     0    68 2804 4664  5  0 95  1  0
 0  0      0 13534344   2168 1519912    0    0     0  3736 4040 6597 13  2 84  1  0
 0  0      0 13534344   2168 1519916    0    0     0    20 2606 4284  7  0 93  0  0
 0  0      0 13534344   2168 1519916    0    0     0    16 3421 5650  9  1 90  0  0
 0  0      0 13534344   2168 1519916    0    0     0    60 3212 5345  9  2 89  0  0
 0  0      0 13534344   2168 1519916    0    0     0    44 3055 4980  5  1 94  1  0
 0  0      0 13534344   2168 1519916    0    0     0    32 3685 6030 11  2 87  0  0
 0  0      0 13534344   2168 1519916    0    0     0   304 3102 5382  6  1 93  1  0
 0  0      0 13534344   2168 1519916    0    0     0   672 4707 7754 10  2 87  2  0
 0  0      0 13534120   2168 1519924    0    0     0  1704 3182 5170  9  2 88  1  0
 0  0      0 13534120   2168 1519924    0    0     0    16 3260 5420  7  0 93  0  0
 0  0      0 13534120   2168 1519924    0    0     0    24 2929 4824  8  0 92  0  0
 3  0      0 13534120   2168 1519924    0    0     0    24 3195 5282  3  2 95  1  0
 0  0      0 13534120   2168 1519924    0    0     0     0 3804 6292  7  2 91  0  0
 0  0      0 13534120   2168 1519924    0    0     0    52 2805 4648  7  0 93  1  0
 0  0      0 13534120   2168 1519924    0    0     0    28 3835 6286  9  1 90  0  0
 0  0      0 13534120   2168 1519924    0    0     0    28 2491 4166  4  1 95  0  0
 0  0      0 13534120   2168 1519924    0    0     0   244 3309 5477  9  1 89  0  0
 0  0      0 13534120   2168 1519924    0    0     0  1024 4929 7371 19  1 76  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13534120   2168 1519924    0    0     0  1940 3981 6534  9  1 87  4  0
 0  0      0 13534120   2168 1519924    0    0     0    84 3856 6392 11  1 88  0  0
 0  0      0 13534120   2168 1519924    0    0     0    36 2586 4258  5  1 94  1  0
 0  0      0 13534120   2168 1519928    0    0     0    28 3451 5693  5  0 95  0  0
 3  0      0 13534120   2168 1519928    0    0     0    60 2816 4653  2  2 96  1  0
 0  0      0 13534120   2168 1519928    0    0     0    20 3643 5968  7  1 93  0  0
 0  0      0 13534120   2168 1519928    0    0     0     0 3043 5118  5  1 94  0  0
 0  0      0 13534120   2168 1519928    0    0     0   172 3380 5889  6  1 93  1  0
 0  0      0 13534120   2168 1519928    0    0     0   256 3999 6699  7  1 92  1  0
 0  0      0 13534120   2168 1519928    0    0     0   480 3465 6032  5  0 95  1  0
 0  0      0 13534120   2168 1519928    0    0     0  1668 3956 6266 18  2 80  1  0
 0  0      0 13534120   2168 1519928    0    0     0    32 2546 4128  4  1 95  0  0
 0  0      0 13534120   2168 1519928    0    0     0    32 3661 6129  8  2 90  1  0
 0  0      0 13534120   2168 1519928    0    0     0    28 2867 4742  7  1 92  0  0
 2  0      0 13534120   2168 1519928    0    0     0    28 3096 4989  8  2 89  0  0
 0  0      0 13534120   2168 1519928    0    0     0    16 3380 5530 14  0 86  0  0
 0  0      0 13534120   2168 1519932    0    0     0    24 2614 4371  4  1 95  0  0
