Linux 6.1.166-197.305.amzn2023.x86_64 (ip-172-31-40-165.ec2.internal) 	04/21/26 	_x86_64_	(2 CPU)

18:12:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:12:40     all   59.22    0.00    4.37   20.87    0.00    2.91    0.00    0.00    0.00   12.62
18:12:41     all   85.00    0.00    4.00    8.00    0.00    3.00    0.00    0.00    0.00    0.00
18:12:42     all   85.57    0.00    1.55   11.34    0.00    1.55    0.00    0.00    0.00    0.00
18:12:43     all   86.57    0.00    2.49    9.95    0.00    1.00    0.00    0.00    0.00    0.00
18:12:44     all   87.44    0.00    4.02    7.54    0.00    1.01    0.00    0.00    0.00    0.00
18:12:45     all   83.92    0.00    2.51   12.06    0.00    1.51    0.00    0.00    0.00    0.00
18:12:46     all   80.90    0.00    4.52   11.06    0.00    3.52    0.00    0.00    0.00    0.00
18:12:47     all   86.87    0.00    5.56    7.07    0.00    0.51    0.00    0.00    0.00    0.00
18:12:48     all   82.99    0.00    3.61   11.86    0.00    1.55    0.00    0.00    0.00    0.00
18:12:49     all   87.62    0.00    1.49    7.92    0.00    2.97    0.00    0.00    0.00    0.00
18:12:50     all   87.38    0.00    1.94    9.71    0.00    0.97    0.00    0.00    0.00    0.00
18:12:51     all   79.90    0.00    7.54   10.55    0.00    0.50    0.00    0.00    0.00    1.51
18:12:52     all   76.85    0.00    9.36   10.34    0.00    1.48    0.49    0.00    0.00    1.48
18:12:53     all   90.82    0.00    0.97    6.28    0.00    1.93    0.00    0.00    0.00    0.00
18:12:54     all   82.98    0.00    3.72   11.17    0.00    2.13    0.00    0.00    0.00    0.00
18:12:55     all   84.73    0.00    1.48   10.84    0.00    2.96    0.00    0.00    0.00    0.00
18:12:56     all   91.88    0.00    0.00    6.60    0.00    1.02    0.00    0.00    0.00    0.51
18:12:57     all   85.57    0.00    2.06   10.82    0.00    1.55    0.00    0.00    0.00    0.00
18:12:58     all   82.59    0.00    2.49   10.45    0.00    4.48    0.00    0.00    0.00    0.00
18:12:59     all   91.22    0.00    1.95    6.34    0.00    0.49    0.00    0.00    0.00    0.00
18:13:00     all   83.92    0.00    4.02   10.05    0.00    2.01    0.00    0.00    0.00    0.00
18:13:01     all   85.71    0.00    2.04   10.71    0.00    1.02    0.00    0.00    0.00    0.51
18:13:02     all   91.13    0.00    0.49    5.91    0.00    2.46    0.00    0.00    0.00    0.00
18:13:03     all   86.01    0.00    3.11    8.81    0.00    2.07    0.00    0.00    0.00    0.00
18:13:04     all   85.79    0.00    0.53   11.05    0.00    2.63    0.00    0.00    0.00    0.00
18:13:05     all   88.27    0.00    2.55    6.63    0.00    2.04    0.00    0.00    0.00    0.51
18:13:06     all   86.70    0.00    2.46    7.39    0.00    3.45    0.00    0.00    0.00    0.00
18:13:07     all   84.58    0.00    2.99   10.95    0.00    1.49    0.00    0.00    0.00    0.00
18:13:08     all   83.92    0.00    3.02    9.55    0.00    3.52    0.00    0.00    0.00    0.00
18:13:09     all   90.05    0.00    1.99    6.47    0.00    1.49    0.00    0.00    0.00    0.00
18:13:10     all   84.92    0.00    1.51   10.55    0.00    3.02    0.00    0.00    0.00    0.00
18:13:11     all   86.87    0.00    1.52   10.10    0.00    1.52    0.00    0.00    0.00    0.00
18:13:12     all   90.05    0.00    1.49    5.97    0.00    2.49    0.00    0.00    0.00    0.00
18:13:13     all   85.13    0.00    2.05   10.77    0.00    2.05    0.00    0.00    0.00    0.00
18:13:14     all   84.92    0.00    2.51   10.55    0.00    2.01    0.00    0.00    0.00    0.00
18:13:15     all   88.14    0.00    2.58    6.70    0.00    2.58    0.00    0.00    0.00    0.00
18:13:16     all   86.14    0.00    1.98   11.39    0.00    0.50    0.00    0.00    0.00    0.00
18:13:17     all   82.56    0.00    2.05   12.31    0.00    3.08    0.00    0.00    0.00    0.00
