procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13370056   2168 1526656    0    0     0   160 1832 3217  1  1 96  1  0
 0  0      0 13370056   2168 1526656    0    0     0    40 1382 2391  1  0 99  0  1
 0  0      0 13370056   2168 1526656    0    0     0   128 1990 3436  1  1 97  2  0
 0  0      0 13370056   2168 1526656    0    0     0   248 2563 4509  0  1 97  2  0
 0  0      0 13370056   2168 1526656    0    0     0   420 2341 4081  2  0 96  2  0
 0  0      0 13369804   2168 1526656    0    0     0   748 2900 5123  2  1 96  2  0
 0  0      0 13368796   2168 1526656    0    0     0  1832 2751 4589  4  1 94  2  0
 0  0      0 13368796   2168 1526656    0    0     0    88 1999 3414  3  1 95  1  0
 0  0      0 13368796   2168 1526656    0    0     0    16 1093 1888  0  0 100  0  0
 0  0      0 13368796   2168 1526656    0    0     0    20 1062 1876  1  0 99  0  0
 0  0      0 13368796   2168 1526656    0    0     0    32 1407 2467  2  0 97  0  0
 0  0      0 13368796   2168 1526656    0    0     0    16 1261 2242  0  0 99  1  0
 0  0      0 13368796   2168 1526660    0    0     0    28 1414 2460  2  0 99  0  0
 0  0      0 13368796   2168 1526660    0    0     0   344 2335 3991  1  0 97  3  0
 0  0      0 13368544   2168 1526660    0    0     0   296 1681 2902  1  0 98  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13368544   2168 1526664    0    0     0   636 2718 4682  5  1 92  2  0
 0  0      0 13368544   2168 1526668    0    0     0  1796 2765 4674  3  1 95  2  0
 0  0      0 13380388   2168 1526668    0    0     0    36 1681 2845  1  1 98  0  0
 0  0      0 13380388   2168 1526668    0    0     0    20 1200 2123  0  0 99  1  0
 0  0      0 13380388   2168 1526672    0    0     0    32 1220 2137  0  0 100  0  0
 0  0      0 13380388   2168 1526672    0    0     0     8 1235 2181  1  1 99  0  0
 0  0      0 13380388   2168 1526672    0    0     0    64 1655 2893  1  0 98  1  0
 0  0      0 13380388   2168 1526672    0    0     0    24 1284 2231  0  1 99  1  0
 0  0      0 13380388   2168 1526672    0    0     0    20 1304 2308  1  1 99  0  0
 0  0      0 13441964   2168 1526672    0    0     0   376 2206 3764  4  3 93  1  0
 0  0      0 13441964   2168 1526672    0    0     0   760 3226 5455  3  1 94  3  0
 0  0      0 13441712   2168 1526676    0    0     0  1680 1581 2749  2  1 97  1  0
 0  0      0 13441712   2168 1526680    0    0     0    60 1223 2225  1  0 99  0  0
 0  0      0 13441712   2168 1526680    0    0     0    48 1264 2138  0  0 99  1  0
 0  0      0 13441712   2168 1526680    0    0     0  4492 1290 2320  0  0 99  1  0
 0  0      0 13441712   2168 1526680    0    0     0     0 1177 2125  0  1 99  0  0
 0  0      0 13441712   2168 1526680    0    0     0    72 1710 2915  0  0 99  1  0
 0  0      0 13441712   2168 1526680    0    0     0    28 1137 1989  0  0 100  0  0
 0  0      0 13441712   2168 1526680    0    0     0    20 1261 2284  1  0 98  0  0
 0  0      0 13441712   2168 1526680    0    0     0   304 1679 2862  0  0 99  1  0
 0  0      0 13441460   2168 1526680    0    0     0   968 4411 6905  8  1 88  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13440200   2168 1526680    0    0     0  1968 3377 5539  8  1 87  3  0
 0  0      0 13440200   2168 1526680    0    0     0    56 1527 2671  1  0 98  1  0
 0  0      0 13440200   2168 1526680    0    0     0    16 1209 2132  1  0 99  0  0
 0  0      0 13440200   2168 1526684    0    0     0    84 1400 2385  2  0 97  0  0
 0  0      0 13440200   2168 1526684    0    0     0    36 1395 2449  1  1 98  1  0
 0  0      0 13440200   2168 1526684    0    0     0    16 1257 2212  1  0 99  0  0
 0  0      0 13440200   2168 1526684    0    0     0     4 1129 2003  1  0 99  0  0
 0  0      0 13440200   2168 1526684    0    0     0    36 1470 2572  0  0 99  1  0
 0  0      0 13440200   2168 1526684    0    0     0   268 1506 2662  0  0 99  1  0
 0  0      0 13439444   2168 1526684    0    0     0   464 1465 2616  1  1 98  1  0
 0  0      0 13437680   2168 1526684    0    0     0  1724 1868 3244  2  0 96  2  0
 0  0      0 13437680   2168 1526684    0    0     0    28 1444 2520  2  0 98  0  0
 0  0      0 13437680   2168 1526684    0    0     0    20 1226 2187  1  0 99  0  0
 0  0      0 13437680   2168 1526684    0    0     0    44 1445 2526  1  0 99  1  0
 0  0      0 13437680   2168 1526684    0    0     0     8 1252 2207  0  1 99  0  0
 0  0      0 13437680   2168 1526684    0    0     0    20 1219 2188  0  0 99  1  0
 0  0      0 13437680   2168 1526688    0    0     0    36 1276 2219  0  0 100  0  0
