Linux 6.1.166-197.305.amzn2023.x86_64 (ip-172-31-79-52.ec2.internal) 	04/22/26 	_x86_64_	(2 CPU)

14:21:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:21:15     all   21.05    0.00    3.16   21.05    0.00    2.11    0.00    0.00    0.00   52.63
14:21:16     all   22.22    0.00    3.17   15.87    0.00    0.53    0.00    0.00    0.00   58.20
14:21:17     all   22.96    0.00    3.57   17.35    0.00    1.02    0.00    0.00    0.00   55.10
14:21:18     all   21.08    0.00    4.86   17.84    0.00    1.08    0.00    0.00    0.00   55.14
14:21:19     all   17.20    0.00    0.54   12.37    0.00    1.61    0.00    0.00    0.00   68.28
14:21:20     all   18.32    0.00    2.97   11.88    0.00    0.99    0.00    0.00    0.00   65.84
14:21:21     all   15.54    0.00    2.07   13.99    0.00    0.00    0.00    0.00    0.00   68.39
14:21:22     all   22.99    0.00    6.95   18.18    0.00    0.53    0.00    0.00    0.00   51.34
14:21:23     all   21.35    0.00    3.65   16.67    0.00    0.00    0.00    0.00    0.00   58.33
14:21:24     all   22.84    0.00    8.12   15.23    0.00    0.51    0.00    0.00    0.00   53.30
14:21:25     all   24.00    0.00    5.00   17.50    0.00    3.00    0.00    0.00    0.00   50.50
14:21:26     all   22.34    0.00    1.06   14.89    0.00    0.53    0.00    0.00    0.00   61.17
14:21:27     all   20.88    0.00    4.95   18.68    0.00    0.55    0.00    0.00    0.00   54.95
14:21:28     all   27.27    0.00    3.03   16.67    0.00    0.51    0.00    0.00    0.00   52.53
14:21:29     all   18.48    0.00    3.26   16.30    0.00    0.54    0.00    0.00    0.00   61.41
14:21:30     all   25.26    0.00    3.68   17.89    0.00    2.63    0.00    0.00    0.00   50.53
14:21:31     all   21.54    0.00    5.13   15.90    0.00    1.03    0.00    0.00    0.00   56.41
14:21:32     all   22.16    0.00    4.64   15.46    0.00    0.00    0.00    0.00    0.00   57.73
14:21:33     all   45.31    0.00    9.38   19.27    0.00    0.52    0.00    0.00    0.00   25.52
14:21:34     all   41.09    0.00    8.91   18.81    0.00    0.00    0.00    0.00    0.00   31.19
14:21:35     all   24.40    0.00    6.70   16.75    0.00    2.39    0.00    0.00    0.00   49.76
14:21:36     all   20.21    0.00    4.66   16.58    0.00    1.04    0.00    0.00    0.00   57.51
14:21:37     all   19.69    0.00    4.66   16.58    0.00    1.04    0.00    0.00    0.00   58.03
14:21:38     all   27.23    0.00    3.66   20.42    0.00    1.05    0.00    0.00    0.00   47.64
14:21:39     all   22.00    0.00    4.50   14.50    0.00    1.00    0.00    0.00    0.00   58.00
14:21:40     all   18.82    0.00    3.76   17.20    0.00    0.54    0.00    0.00    0.00   59.68
14:21:41     all   24.48    0.00    3.65   17.71    0.00    1.56    0.00    0.00    0.00   52.60
14:21:42     all   21.00    0.00    6.00   15.00    0.00    1.50    0.00    0.00    0.00   56.50
14:21:43     all   21.08    0.00    7.03   18.38    0.00    0.54    0.00    0.00    0.00   52.97
14:21:44     all   18.42    0.00    5.79   16.84    0.00    0.53    0.00    0.00    0.00   58.42
14:21:45     all   22.06    0.00    6.37   14.71    0.00    0.98    0.00    0.00    0.00   55.88
14:21:46     all   25.40    0.00    5.29   18.52    0.00    1.06    0.00    0.00    0.00   49.74
14:21:47     all   18.85    0.00    5.76   15.71    0.00    0.00    0.00    0.00    0.00   59.69
14:21:48     all   22.34    0.00    5.85   19.68    0.00    0.53    0.00    0.00    0.00   51.60
14:21:49     all   21.05    0.00    6.32   16.84    0.00    1.05    0.00    0.00    0.00   54.74
