procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 1358220   2168 1001880    0    0    47  4694   71 2527 19  5 65 11  0
 0  0      0 1358216   2168 1001848    0    0     0  4640 17131 25437 20  8 51 20  0
 0  0      0 1357964   2168 1001848    0    0     0  1872 8438 12668 16  2 73  9  0
 0  1      0 1356200   2168 1001848    0    0     0  4260 13675 21056 19  4 61 16  0
 1  1      0 1355948   2168 1001848    0    0     0  1880 7400 10260 20  3 65 12  0
 2  0      0 1284812   2168 1001848    0    0     0  5176 9202 10739 35  8 46 11  0
 0  1      0 1312912   2168 1001848    0    0     0  2760 10049 13140 31  5 47 17  0
 1  0      0 1292936   2168 1014696    0    0     0 32148 5552 6477 35  6 44 14  0
 0  0      0 1358216   2168 1006496    0    0     0 64616 6799 6770 49 11 27 13  0
 1  0      0 1344040   2168 1001080    0    0     0 21624 4157 6654 14  2 77  6  0
 2  1      0 1327408   2168 1001084    0    0     0 16292 7097 10552 16  3 77  4  0
 2  0      0 1321452   2168 1012772    0    0     0 29064 9444 12933 38  9 43 10  0
 1  0      0 1316128   2168 1010976    0    0     0 51028 5663 4581 48 10 30 12  0
 0  0      0 1343640   2168 1002412    0    0     0 28776 4734 6108 26  4 59 11  0
 2  0      0 1371584   2168 1002412    0    0     0 16908 9179 12769 25  5 60 11  0
 2  0      0 1303388   2168 1012416    0    0     0 45956 4591 4192 45 10 36  9  0
 1  1      0 1267356   2168 1014624    0    0     0 63044 5557 5002 54  8 25 13  0
 1  1      0 1247384   2168 1002724    0    0     0 16392 5486 7288 20  3 67  9  0
 0  0      0 1208888   2168 1002724    0    0     0 16408 6190 8262 21  1 68 10  0
 1  0      0 1187216   2168 1012312    0    0     0 41992 7371 8601 44 10 33 13  0
 2  0      0 1220048   2168 1005472    0    0     0 41544 6248 3769 49 12 25 14  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1181864   2168 998548    0    0     0 44984 6964 5711 36  9 45 10  0
 2  0      0 1167308   2168 1000392    0    0     0 32512 6383 8354 22  5 65  8  0
 2  0      0 1171592   2168 1010584    0    0     0 45788 6569 5694 49 12 24 14  0
 0  0      0 1157228   2168 1002656    0    0     0 34696 3975 4853 24  7 60  9  0
 2  0      0 1140344   2168 1002656    0    0     0 15976 5066 7484 11  2 81  7  0
 2  0      0 1092180   2168 1002716    0    0     0 24896 11235 16248 31  5 54 11  0
 1  0      0 1197032   2168 1011024    0    0     0 48432 4449 3382 48 11 28 13  0
 1  1      0 1212424   2168 1009892    0    0     0 55408 6189 4877 50 12 26 11  0
 2  0      0 1208404   2168 1001920    0    0     0 20656 8285 11793 21  5 62 13  0
 2  0      0 1260100   2168 1019768    0    0     0 37512 5937 6157 37  8 44 12  0
 0  1      0 1229104   2168 1013312    0    0     0 62828 5915 5020 50 13 24 14  0
 0  0      0 1212408   2168 1003652    0    0     0 18800 5174 7045 18  3 67 11  0
 1  0      0 1225224   2168 1010140    0    0     0 24484 7770 11315 26  3 62  8  0
 0  1      0 1187968   2168 1026064    0    0     0 45844 6354 5127 46 12 29 14  0
 0  0      0 1194552   2168 1003296    0    0     0 39884 6806 6248 32  9 46 13  0
 0  0      0 1187496   2168 1003296    0    0     0 15896 4481 6744  8  1 85  7  0
 0  0      0 1152592   2168 1003296    0    0     0 16120 6751 10242 20  3 72  6  0
 0  1      0 1228200   2168 1025608    0    0     0 46220 7331 8174 46 11 31 12  0
 1  0      0 1326480   2168 1010056    0    0     0 58040 5500 3785 49 13 25 13  0
 2  0      0 1308840   2168 1001568    0    0     0 19660 4910 7113 14  2 77  7  0
 2  0      0 1310664   2168 1010940    0    0     0 31460 9989 13088 41  8 38 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 1234784   2168 1009472    0    0     0 46320 6043 5015 44 11 32 13  0
 1  0      0 1242028   2168 1001916    0    0     0 39020 6374 8657 30  7 52 11  0
