Linux 6.1.166-197.305.amzn2023.x86_64 (ip-172-31-35-124.ec2.internal) 	04/22/26 	_x86_64_	(2 CPU)

17:00:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:00:55     all   14.80    0.00    4.08    7.65    0.00    0.51    0.00    0.00    0.00   72.96
17:00:56     all   13.20    0.00    4.57    8.63    0.00    0.00    0.00    0.00    0.00   73.60
17:00:57     all   28.21    0.00    7.18   12.31    0.00    0.51    0.00    0.00    0.00   51.79
17:00:58     all   35.75    0.00   13.99   15.03    0.00    0.52    0.00    0.00    0.00   34.72
17:00:59     all   21.57    0.00    3.92    7.84    0.00    0.00    0.00    0.00    0.00   66.67
17:01:00     all    9.19    0.00    2.70   12.43    0.00    0.00    0.00    0.00    0.00   75.68
17:01:01     all   19.42    0.00    4.37   12.62    0.00    0.49    0.00    0.00    0.00   63.11
17:01:02     all   26.04    0.00    5.73    7.29    0.00    0.52    0.00    0.00    0.00   60.42
17:01:03     all   38.83    0.00    9.04   12.23    0.00    0.00    0.00    0.00    0.00   39.89
17:01:04     all   21.26    0.00    7.73   10.14    0.00    0.48    0.00    0.00    0.00   60.39
17:01:05     all    4.26    0.00    1.60    8.51    0.00    1.06    0.00    0.00    0.00   84.57
17:01:06     all   24.37    0.00    5.08   11.17    0.00    0.00    0.00    0.00    0.00   59.39
17:01:07     all   42.50    0.00   12.00   13.00    0.00    1.00    0.00    0.00    0.00   31.50
17:01:08     all   36.87    0.00   10.10    9.60    0.00    0.00    0.00    0.00    0.00   43.43
17:01:09     all   10.05    0.00    1.06   11.11    0.00    0.00    0.00    0.00    0.00   77.78
17:01:10     all   26.56    0.00    6.25   15.10    0.00    1.56    0.00    0.00    0.00   50.52
17:01:11     all   38.38    0.00   10.10   14.14    0.00    1.52    0.00    0.00    0.00   35.86
17:01:12     all   34.04    0.00    4.79   12.23    0.00    0.00    0.00    0.00    0.00   48.94
17:01:13     all    6.77    0.00    0.52    7.29    0.00    0.00    0.00    0.00    0.00   85.42
17:01:14     all   19.69    0.00    1.04   13.47    0.00    0.00    0.00    0.00    0.00   65.80
17:01:15     all   50.00    0.00   10.00   13.16    0.00    0.00    0.00    0.00    0.00   26.84
17:01:16     all   50.25    0.00    5.53   11.56    0.00    0.00    0.00    0.00    0.00   32.66
17:01:17     all   15.74    0.00    3.55   13.71    0.00    0.00    0.00    0.00    0.00   67.01
17:01:18     all   18.87    0.00    4.72   10.85    0.00    0.00    0.00    0.00    0.00   65.57
17:01:19     all   42.05    0.00    9.74   12.82    0.00    0.51    0.00    0.00    0.00   34.87
17:01:20     all   31.16    0.00    6.03   11.06    0.00    0.00    0.00    0.00    0.00   51.76
17:01:21     all    2.11    0.00    1.58    5.26    0.00    0.00    0.00    0.00    0.00   91.05
17:01:22     all   15.50    0.00    1.50   13.00    0.00    0.50    0.00    0.00    0.00   69.50
17:01:23     all   12.57    0.00    1.05   13.09    0.00    0.00    0.00    0.00    0.00   73.30
17:01:24     all   36.27    0.00    9.33   13.99    0.00    0.00    0.00    0.00    0.00   40.41
17:01:25     all   47.69    0.00    6.15   12.82    0.00    0.51    0.00    0.00    0.00   32.82
17:01:26     all    6.53    0.00    2.51    8.04    0.00    0.00    0.00    0.00    0.00   82.91
17:01:27     all   18.18    0.00    4.55   16.67    0.00    0.51    0.00    0.00    0.00   60.10
17:01:28     all   34.31    0.00    6.86   12.25    0.00    0.00    0.00    0.00    0.00   46.57
17:01:29     all   50.00    0.00    6.12   12.24    0.00    0.00    0.00    0.00    0.00   31.63
17:01:30     all   29.44    0.00    2.54   10.15    0.00    0.51    0.00    0.00    0.00   57.36
