procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 5671256   2168 1390644    0    0    24  1060 1870  733  5  1 89  5  0
 0  1      0 5671252   2168 1390608    0    0     0  4936 12887 21280 15  1 59 24  0
 1  0      0 5716356   2168 1395900    0    0     0  8704 10242 14578 33  4 45 18  0
 0  0      0 5662692   2168 1393388    0    0     0 33428 9699 12286 37 10 33 21  0
 0  1      0 5662692   2168 1393388    0    0     0  4428 14445 22573 27  7 49 17  0
 0  0      0 5662692   2168 1393388    0    0     0 11124 12285 18852 17  4 61 18  0
 0  1      0 5662692   2168 1393388    0    0     0  3348 11558 18076 14  3 66 17  0
 0  0      0 5662692   2168 1393388    0    0     0  4324 12931 19434 19  4 57 19  0
 1  1      0 5662692   2168 1393388    0    0     0  2208 6989 11494  9  3 79 10  0
 0  0      0 5662692   2168 1393388    0    0     0  3164 6885 11013 11  4 77  9  0
 0  1      0 5662692   2168 1393388    0    0     0  3644 11284 17167 17  3 64 16  0
 2  1      0 5662692   2168 1393388    0    0     0  3040 11738 18659 13  4 67 16  0
 0  0      0 5662692   2168 1393388    0    0     0  3960 14062 22167 19  5 57 19  0
 0  0      0 5662692   2168 1393388    0    0     0  3164 11895 18917 20  4 61 15  0
 0  1      0 5662692   2168 1393388    0    0     0  3596 8873 12300 18  3 59 21  0
 0  1      0 5662692   2168 1393392    0    0     0  3776 13210 20953 17  6 60 18  0
 3  0      0 5662692   2168 1393392    0    0     0  3148 11479 18347 15  3 66 16  0
 1  1      0 5662696   2168 1393392    0    0     0  4452 14259 22080 18  7 54 21  0
 3  0      0 5662696   2168 1393392    0    0     0  3492 11195 17861 18  3 63 16  1
 0  0      0 5662696   2168 1393392    0    0     0  4640 10458 15633 14  4 63 19  0
 0  1      0 5662444   2168 1393392    0    0     0  4528 12241 18136 18  6 55 20  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 5661688   2168 1393392    0    0     0  3124 11899 18990 14  3 67 16  0
 3  0      0 5660680   2168 1393392    0    0     0  3884 13425 21118 24  3 53 19  0
 3  0      0 5660176   2168 1393392    0    0     0  2964 10903 17395 13  4 69 15  0
 0  0      0 5659168   2168 1393392    0    0     0  3120 9729 14809 16  5 62 16  0
 0  0      0 5657656   2168 1393392    0    0     0  4232 14762 23191 22  7 53 19  0
 0  0      0 5656396   2168 1393392    0    0     0  2656 10041 16333 12  2 72 14  0
 0  0      0 5654632   2168 1393392    0    0     0  3120 10188 15926 14  3 69 15  0
 1  0      0 5652616   2168 1393400    0    0     0  3948 11888 18195 16  2 64 19  0
 0  0      0 5641024   2168 1393460    0    0     0  4216 10112 15617 19  5 60 15  0
 1  0      0 5637244   2168 1393460    0    0     0  4304 13882 21861 20  3 58 18  0
 0  0      0 5635732   2168 1393460    0    0     0  3632 13016 20455 20  4 60 17  0
 0  1      0 5633968   2168 1393460    0    0     0  3280 12273 19418 18  6 61 15  0
 0  0      0 5631952   2168 1393460    0    0     0  4212 15356 24089 21  5 53 20  0
 3  0      0 5630188   2168 1393460    0    0     0  3328 11893 18965 20  3 61 16  0
 3  0      0 5628672   2168 1393460    0    0     0  3660 13796 21637 17  7 58 18  0
 1  1      0 5668740   2168 1400184    0    0     0 10480 10748 15803 33  4 45 18  0
 2  0      0 5648328   2168 1413004    0    0     0 42188 7493 6260 52 11 17 20  0
 0  0      0 5646312   2168 1390356    0    0     0 17992 11168 14831 28  5 43 24  0
 0  0      0 5646312   2168 1390408    0    0     0  4256 11024 17120 20  4 61 15  0
 2  1      0 5646312   2168 1390412    0    0     0  3808 11914 18890 17  5 63 15  0
 0  1      0 5646312   2168 1390412    0    0     0  3244 11966 19182 16  4 65 16  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 5646312   2168 1390416    0    0     0  3308 10289 15662 16  5 61 17  0
 1  1      0 5646060   2168 1390420    0    0     0  3960 13146 19885 19  5 56 20  0
 1  1      0 5648328   2168 1390424    0    0     0  3552 10949 16376 15  4 60 20  0
 0  0      0 5650092   2168 1390424    0    0     0  3372 10791 16090 16  2 65 17  0
 2  1      0 5650092   2168 1390424    0    0     0  3996 13926 21407 23  7 52 18  0
 0  0      0 5650092   2168 1390424    0    0     0  3460 11053 17064 19  4 62 16  0
 0  0      0 5650092   2168 1390424    0    0     0  3832 11884 18008 18  6 59 17  0
 0  0      0 5650092   2168 1390428    0    0     0  5012 12149 18829 26  4 53 17  0
 0  0      0 5650092   2168 1390428    0    0     0  3696 11785 18638 22  4 59 15  0
 2  1      0 5650092   2168 1390428    0    0     0  3932 14255 22724 24  6 52 17  0
 0  0      0 5650088   2168 1390428    0    0     0  3520 8309 11465 15  1 62 22  0
 0  1      0 5650088   2168 1390428    0    0     0  3368 11735 18256 16  5 63 17  0
 3  0      0 5650096   2168 1390428    0    0     0  4176 14905 23349 20  6 54 20  0
 0  0      0 5635732   2168 1390432    0    0     0  3124 11900 18836 13  3 67 16  0
 0  0      0 5633464   2168 1390432    0    0     0  3668 14029 22096 19  6 58 17  0
 0  0      0 5631448   2168 1390432    0    0     0  3960 13754 21866 18  3 60 19  0
 0  1      0 5629684   2168 1390432    0    0     0  3500 11051 17234 21  4 59 16  0
 0  0      0 5626408   2168 1390432    0    0     0  5448 10976 15690 26  3 50 20  0
 0  0      0 5623888   2168 1390432    0    0     0  3848 12139 19075 20  5 60 16  0
 0  1      0 5622376   2168 1390432    0    0     0  3388 11123 16866 23  3 58 16  0
 0  1      0 5620360   2168 1390432    0    0     0  4020 11462 16725 21  4 54 21  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 5618596   2168 1390432    0    0     0  3224 12272 19576 19  3 62 15  0
 3  0      0 5616580   2168 1390432    0    0     0  3892 13931 21929 15  3 62 19  0
 0  0      0 5615068   2168 1390432    0    0     0  3724 13439 21216 17  3 61 18  0
 0  0      0 5613304   2168 1390432    0    0     0  3208 12353 19783 15  3 66 16  0
 2  0      0 5610784   2168 1390432    0    0     0  4372 14112 21815 24  4 52 20  0
