procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 5236236   2168 1596740    0    0    20  1423  707  314  8  2 84  7  0
 0  0      0 5234472   2168 1596712    0    0     0  3056 4984 8502  5  2 86  7  0
 0  0      0 5233716   2168 1596712    0    0     0  2144 7388 12292  6  2 83  9  0
 0  0      0 5233212   2168 1596712    0    0     0  1364 4829 8229  5  2 87  6  0
 3  0      0 5232456   2168 1596712    0    0     0  1816 6458 10277  6  2 84  8  0
 2  0      0 5231196   2168 1596712    0    0     0  2308 7662 12137  9  1 80 10  0
 0  0      0 5230440   2168 1596712    0    0     0  1180 4033 6928  4  1 91  4  0
 0  1      0 5229180   2168 1596712    0    0     0  1944 6069 10275  7  2 83  8  0
 3  1      0 5227920   2168 1596712    0    0     0  1876 6297 10653  8  2 83  8  0
 3  0      0 5226912   2168 1596712    0    0     0  1528 4374 7374  5  2 88  5  0
 0  0      0 5225148   2168 1596712    0    0     0  2352 6808 11123 12  3 77  8  0
 0  0      0 5221872   2168 1596712    0    0     0  2980 4794 8123  6  2 87  6  0
 0  0      0 5220864   2168 1596712    0    0     0  1828 5900 10037  2  1 90  7  0
 1  1      0 5219604   2168 1596712    0    0     0  2092 7008 11732  9  5 78  8  0
 1  0      0 5218848   2168 1596712    0    0     0  1232 4520 7623  7  2 85  5  0
 0  0      0 5217588   2168 1596716    0    0     0  9428 5572 9583  7  1 84  7  0
 0  0      0 5216328   2168 1596716    0    0     0  1992 6415 10830  4  3 85  8  0
 0  0      0 5215572   2168 1596716    0    0     0  1164 4165 7034  4  1 91  5  0
 1  1      0 5214312   2168 1596716    0    0     0  1784 6101 10284 10  3 81  7  0
 0  0      0 5213052   2168 1596716    0    0     0  2120 6137 10319  6  1 86  8  0
 0  0      0 5211792   2168 1596720    0    0     0  1632 4231 7244  6  1 88  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 5208768   2168 1596720    0    0     0  3432 6158 10247 11  2 79  7  0
 0  1      0 5207760   2168 1596720    0    0     0  1632 5831 9817  6  3 85  7  0
 0  0      0 5207004   2168 1596720    0    0     0  1292 4447 7572  4  2 89  6  0
 1  0      0 5205744   2168 1596720    0    0     0  1824 6165 10331  7  3 83  8  0
 3  0      0 5234724   2168 1611328    0    0     0 20904 5073 6971 23  6 62  9  0
 0  0      0 5288148   2168 1599360    0    0     0 17740 3709 5811 15  3 75  7  0
 3  0      0 5288148   2168 1599360    0    0     0  1764 6057 10147  9  1 83  7  0
 0  1      0 5288148   2168 1599364    0    0     0  1616 5728 9584  5  2 86  7  0
 0  0      0 5288148   2168 1599364    0    0     0  1328 4423 7475  4  0 91  5  0
 0  0      0 5288148   2168 1599364    0    0     0  2340 6258 10488  7  3 83  8  0
 0  0      0 5287644   2168 1599364    0    0     0  3080 5170 8672  8  2 84  6  0
 0  0      0 5287140   2168 1599364    0    0     0  1236 4787 8145  3  1 92  5  0
 0  0      0 5286636   2168 1599364    0    0     0  1904 5689 9108  8  4 80  8  0
 0  0      0 5286132   2168 1599368    0    0     0  1512 5637 9429  8  2 85  6  0
 0  0      0 5285628   2168 1599368    0    0     0  1384 4746 8074  6  2 87  5  0
 0  0      0 5285124   2168 1599368    0    0     0  1876 6709 11181  9  4 80  7  0
 2  1      0 5284368   2168 1599368    0    0     0  1576 5359 9067  5  2 87  7  0
