workload,threads,transactions_per_sec,queries_per_sec,avg_latency_ms,p95_latency_ms,ignored_errors_per_sec,reconnects_per_sec
oltp_read_only,16,70.68,1130.90,225.87,493.24,0.00,0.00
oltp_read_only,32,76.15,1218.45,419.59,831.46,0.00,0.00
oltp_read_only,4,55.27,884.25,72.36,179.94,0.00,0.00
oltp_read_only,8,67.13,1074.01,118.96,277.21,0.00,0.00
oltp_read_write,16,52.06,1041.72,307.16,590.56,0.02,0.00
oltp_read_write,32,56.48,1129.75,565.87,995.51,0.01,0.00
oltp_read_write,4,37.22,744.43,107.32,240.02,0.00,0.00
oltp_read_write,8,45.75,915.17,174.83,369.77,0.01,0.00
