Linux 6.1.166-197.305.amzn2023.x86_64 (ip-172-31-75-74.ec2.internal) 	04/22/26 	_x86_64_	(2 CPU)

14:23:29     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:23:30     all    4.48    0.00    2.99   13.93    0.00    0.00    0.00    0.00    0.00   78.61
14:23:31     all    3.68    0.00    3.16   27.89    0.00    0.00    0.00    0.00    0.00   65.26
14:23:32     all    4.15    0.00    2.59   22.80    0.00    0.00    0.00    0.00    0.00   70.47
14:23:33     all    5.15    0.00    2.58   25.26    0.00    0.00    0.00    0.00    0.00   67.01
14:23:34     all    7.00    0.00    4.50   28.50    0.00    0.00    0.00    0.00    0.00   60.00
14:23:35     all    2.63    0.00    1.58   25.26    0.00    1.05    0.00    0.00    0.00   69.47
14:23:36     all    5.58    0.00    3.05   22.34    0.00    0.00    0.00    0.00    0.00   69.04
14:23:37     all    5.64    0.00    3.08   27.18    0.00    0.00    0.00    0.00    0.00   64.10
14:23:38     all    9.74    0.00    1.03   23.08    0.00    0.51    0.00    0.00    0.00   65.64
14:23:39     all    7.14    0.00    3.06   23.47    0.00    0.00    0.00    0.00    0.00   66.33
14:23:40     all    7.58    0.00    2.53   24.75    0.00    0.00    0.00    0.00    0.00   65.15
14:23:41     all    3.08    0.00    3.59   25.13    0.00    0.51    0.00    0.00    0.00   67.69
14:23:42     all    3.16    0.00    1.05   23.68    0.00    0.53    0.00    0.00    0.00   71.58
14:23:43     all   24.06    0.00    0.53   28.34    0.00    0.00    0.00    0.00    0.00   47.06
14:23:44     all   41.09    0.00   12.87   25.25    0.00    1.49    0.00    0.00    0.00   19.31
14:23:45     all    7.92    0.00    2.97   22.77    0.00    0.50    0.00    0.00    0.00   65.84
14:23:46     all    4.59    0.00    3.06   26.02    0.00    1.02    0.00    0.00    0.00   65.31
14:23:47     all    4.66    0.00    2.59   24.87    0.00    0.00    0.00    0.00    0.00   67.88
14:23:48     all    6.57    0.00    2.53   22.73    0.00    1.01    0.00    0.00    0.00   67.17
14:23:49     all    7.25    0.00    4.15   25.39    0.00    0.52    0.00    0.00    0.00   62.69
14:23:50     all    2.66    0.00    1.06   26.60    0.00    0.00    0.00    0.00    0.00   69.68
14:23:51     all    6.86    0.00    4.41   21.57    0.00    0.49    0.00    0.00    0.00   66.67
14:23:52     all    6.03    0.00    4.02   25.63    0.00    0.00    0.00    0.00    0.00   64.32
14:23:53     all    7.61    0.00    1.52   23.35    0.00    0.00    0.00    0.00    0.00   67.51
14:23:54     all    7.35    0.00    2.45   22.06    0.00    0.49    0.00    0.00    0.00   67.65
14:23:55     all    5.35    0.00    1.60   31.02    0.00    0.00    0.00    0.00    0.00   62.03
14:23:56     all    4.57    0.00    3.05   20.81    0.00    0.51    0.00    0.00    0.00   71.07
14:23:57     all    5.13    0.00    3.08   24.10    0.00    0.00    0.00    0.00    0.00   67.69
14:23:58     all    3.65    0.00    4.17   27.08    0.00    0.52    0.00    0.00    0.00   64.58
14:23:59     all    6.25    0.00    2.60   22.40    0.00    0.00    0.00    0.00    0.00   68.75
14:24:00     all    9.85    0.00    2.46   24.63    0.00    0.00    0.00    0.00    0.00   63.05
14:24:01     all    5.10    0.00    2.55   23.47    0.00    0.00    0.00    0.00    0.00   68.88
14:24:02     all    4.62    0.00    1.54   21.03    0.00    0.51    0.00    0.00    0.00   72.31
14:24:03     all    5.26    0.00    1.05   27.37    0.00    0.53    0.00    0.00    0.00   65.79
14:24:04     all    4.62    0.00    2.05   21.54    0.00    0.00    0.00    0.00    0.00   71.79
