procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 4720736   2168 1657072    0    0    22  1113 1457  777 37  2 57  5  0
 2  0      0 4720484   2168 1657052    0    0     0  4728 12019 13613 55  5 20 21  0
 2  0      0 4707632   2168 1657052    0    0     0   832 4181  468 92  6  0  3  0
 1  1      0 4683692   2168 1657060    0    0     0   948 4551  493 91  6  0  3  0
 2  0      0 4616912   2168 1657064    0    0     0   836 4191  470 89  8  0  3  0
 2  0      0 4571804   2168 1657072    0    0     0   964 4386  497 93  5  0  3  0
 2  0      0 4540304   2168 1657116    0    0     0  1212 4895  513 94  3  0  3  0
 2  0      0 4540304   2168 1657120    0    0     0  2052 5260  462 94  3  0  3  0
 1  1      0 4537028   2168 1657128    0    0     0  1568 4383  545 92  5  0  4  0
 2  0      0 4527200   2168 1657136    0    0     0   992 4373  515 93  4  0  3  0
 2  0      0 4526696   2168 1657144    0    0     0   828 4277  471 96  1  0  3  0
 2  0      0 4526444   2168 1657152    0    0     0  1072 5107  547 91  6  0  4  0
 2  0      0 4525940   2168 1657160    0    0     0   884 4116  471 93  5  0  3  0
 2  0      0 4525688   2168 1657168    0    0     0   748 4376  464 95  3  0  2  0
 2  0      0 4525184   2168 1657172    0    0     0  1068 4985  506 93  4  0  3  0
 2  0      0 4523168   2168 1657184    0    0     0   980 4176  472 95  3  0  2  0
 2  0      0 4522664   2168 1657192    0    0     0  1312 5181  579 92  4  1  4  0
 2  0      0 4519920   2168 1657196    0    0     0  2168 3921  501 91  6  0  3  0
 2  0      0 4518408   2168 1657204    0    0     0  1436 4078  490 95  2  0  4  0
 1  1      0 4517400   2168 1657208    0    0     0  1076 4502  516 94  3  0  3  0
 2  0      0 4516896   2168 1657216    0    0     0   716 3500  442 94  4  0  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 4516140   2168 1657224    0    0     0   972 5126  511 91  6  0  3  0
 2  0      0 4515636   2168 1657228    0    0     0  8264 4598  692 92  5  0  3  0
 2  0      0 4514880   2168 1657232    0    0     0   880 4485  485 93  4  0  3  0
 2  0      0 4513872   2168 1657240    0    0     0  1348 5328  551 92  5  0  4  0
 2  0      0 4513116   2168 1657244    0    0     0  1068 4077  516 92  4  0  3  0
 2  0      0 4511604   2168 1657256    0    0     0  1268 5002  529 95  2  0  3  0
 2  0      0 4501020   2168 1660324    0    0     0  5388 4402  667 93  3  1  4  0
 2  0      0 4498888   2168 1661120    0    0     0 22224 8553 1908 81 13  1  5  0
 2  0      0 4592584   2168 1665092    0    0     0 23752 6611 1276 86  9  0  5  0
 2  0      0 4658212   2168 1660356    0    0     0  9188 7776 1095 89  8  0  2  0
 2  0      0 4662244   2168 1660360    0    0     0  1100 5254  534 92  4  0  4  0
 2  0      0 4662244   2168 1660364    0    0     0  1056 5025  533 94  3  0  4  0
 2  0      0 4654684   2168 1660372    0    0     0   940 4583  494 87 10  0  3  0
 2  0      0 4653676   2168 1660380    0    0     0  1052 5336  527 92  5  0  4  0
 2  0      0 4652192   2168 1660384    0    0     0  1464 5214  560 93  3  1  4  0
 2  0      0 4643372   2168 1660396    0    0     0  1168 4483  509 93  4  0  3  0
 2  0      0 4632288   2168 1660404    0    0     0  2364 5117  534 92  4  0  4  0
 2  0      0 4629516   2168 1660408    0    0     0  1724 5053  583 91  5  0  4  0
 1  1      0 4628760   2168 1660416    0    0     0  1048 4357  508 94  3  0  4  0
 3  0      0 4627752   2168 1660424    0    0     0  1608 5234  523 91  5  0  3  0
 2  0      0 4627248   2168 1660436    0    0     0   900 4280  503 89  9  0  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 4626492   2168 1660444    0    0     0   840 4172  478 92  5  0  3  0
 2  0      0 4625736   2168 1660452    0    0     0  1076 5458  537 91  6  0  4  0
 2  0      0 4624728   2168 1660460    0    0     0   924 4695  483 93  4  0  3  0
 2  0      0 4623972   2168 1660472    0    0     0  1072 4403  486 92  6  0  3  0
 2  0      0 4622488   2168 1660480    0    0     0  1356 5173  546 95  1  0  4  0
 1  1      0 4619968   2168 1660488    0    0     0  2460 4123  496 93  3  0  3  0
