Linux 6.1.166-197.305.amzn2023.x86_64 (ip-172-31-79-52.ec2.internal) 	04/22/26 	_x86_64_	(2 CPU)

14:23:29     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:23:30     all   10.61    0.00    2.02    5.56    0.00    0.00    0.00    0.00    0.00   81.82
14:23:31     all   20.73    0.00    3.11   15.03    0.00    0.52    0.00    0.00    0.00   60.62
14:23:32     all   16.04    0.00    2.14   15.51    0.00    0.53    0.00    0.00    0.00   65.78
14:23:33     all   22.33    0.00    4.37   14.56    0.00    0.49    0.00    0.00    0.00   58.25
14:23:34     all   24.51    0.00    6.86   17.16    0.00    0.49    0.00    0.00    0.00   50.98
14:23:35     all   19.60    0.00    3.02   14.07    0.00    1.01    0.00    0.00    0.00   62.31
14:23:36     all   22.05    0.00    3.08   14.36    0.00    0.00    0.00    0.00    0.00   60.51
14:23:37     all   20.62    0.00    2.06   19.59    0.00    2.58    0.00    0.00    0.00   55.15
14:23:38     all   18.04    0.00    3.61   13.92    0.00    1.03    0.00    0.00    0.00   63.40
14:23:39     all   14.84    0.00    2.20   16.48    0.00    0.00    0.00    0.00    0.00   66.48
14:23:40     all   23.83    0.00    4.15   17.10    0.00    2.07    0.00    0.00    0.00   52.85
14:23:41     all   13.76    0.00    2.12   16.40    0.00    0.53    0.00    0.00    0.00   67.20
14:23:42     all   22.71    0.00    4.35   13.53    0.00    0.00    0.00    0.00    0.00   59.42
14:23:43     all   31.61    0.00    5.18   17.10    0.00    0.52    0.00    0.00    0.00   45.60
14:23:44     all   48.00    0.00    7.00   19.00    0.00    0.50    0.00    0.00    0.00   25.50
14:23:45     all   21.08    0.00    2.94   14.71    0.00    0.98    0.00    0.00    0.00   60.29
14:23:46     all   18.75    0.00    5.21   17.19    0.00    1.56    0.00    0.00    0.00   57.29
14:23:47     all   17.26    0.00    4.06   14.72    0.00    0.51    0.00    0.00    0.00   63.45
14:23:48     all   22.50    0.00    4.00   14.00    0.00    0.50    0.00    0.00    0.00   59.00
14:23:49     all   24.10    0.00    2.56   17.44    0.00    0.51    0.00    0.00    0.00   55.38
14:23:50     all   16.23    0.00    5.24   13.61    0.00    0.00    0.00    0.00    0.00   64.92
14:23:51     all   14.21    0.00    2.19   15.30    0.00    1.64    0.00    0.00    0.00   66.67
14:23:52     all   21.43    0.00    2.20   17.58    0.00    0.00    0.00    0.00    0.00   58.79
14:23:53     all   19.19    0.00    3.03   13.13    0.00    1.52    0.00    0.00    0.00   63.13
14:23:54     all   19.29    0.00    5.08   15.74    0.00    0.51    0.00    0.00    0.00   59.39
14:23:55     all   17.49    0.00    3.28   20.22    0.00    0.55    0.00    0.00    0.00   58.47
14:23:56     all   16.24    0.00    5.58   12.69    0.00    0.51    0.00    0.00    0.00   64.97
14:23:57     all   19.25    0.00    3.74   17.65    0.00    0.00    0.00    0.00    0.00   59.36
14:23:58     all   20.30    0.00    4.95   15.84    0.00    0.00    0.00    0.00    0.00   58.91
14:23:59     all   18.52    0.00    2.12   15.34    0.00    0.00    0.00    0.00    0.00   64.02
14:24:00     all   21.99    0.00    3.66   18.32    0.00    0.52    0.00    0.00    0.00   55.50
14:24:01     all   14.57    0.00    6.53   11.56    0.00    0.50    0.00    0.00    0.00   66.83
14:24:02     all   18.03    0.00    3.83   14.75    0.00    0.00    0.00    0.00    0.00   63.39
