procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 3447972   2168 1831740    0    0    19  1347 1611  773 42  2 50  6  0
 2  0      0 3485516   2168 1831692    0    0     0  3800 7538 3789 57  7 16 20  0
 2  0      0 3485516   2168 1831692    0    0     0   664 3370  421 94  4  0  2  0
 2  0      0 3485516   2168 1831704    0    0     0   944 4378  532 94  3  0  3  0
 2  0      0 3463340   2168 1831720    0    0     0   828 4273  477 93  3  0  3  1
 2  0      0 3379420   2168 1831732    0    0     0   736 4096  447 93  4  1  3  0
 2  0      0 3378408   2168 1831744    0    0     0  1288 5458  544 92  4  0  4  0
 2  0      0 3274836   2168 1831760    0    0     0   636 3678  413 91  7  0  2  0
 2  0      0 3245096   2168 1831772    0    0     0  1124 4474  495 96  1  0  3  0
 2  0      0 3244088   2168 1831788    0    0     0  1064 4380  498 95  2  0  3  0
 2  0      0 3236780   2168 1831800    0    0     0  2424 3586  437 94  3  0  2  0
 2  0      0 3236024   2168 1831812    0    0     0  1068 5567  521 94  2  0  3  0
 2  0      0 3234764   2168 1831828    0    0     0   572 3493  424 97  1  0  2  0
 2  0      0 3232496   2168 1831836    0    0     0   852 4605  494 93  4  0  3  0
 2  0      0 3231740   2168 1831852    0    0     0   992 5139  504 94  3  0  3  0
 2  0      0 3195704   2168 1831872    0    0     0  8116 3735  649 94  4  0  2  0
 2  0      0 3192176   2168 1831880    0    0     0  1104 5229  547 90  6  0  4  0
 2  0      0 3191168   2168 1831900    0    0     0   792 4581  470 95  2  0  2  0
 2  0      0 3170000   2168 1831912    0    0     0   892 3327  454 93  4  0  3  0
 2  0      0 3168236   2168 1831928    0    0     0  1276 5166  534 92  4  0  4  0
 2  0      0 3165464   2168 1831944    0    0     0  2508 3562  453 96  1  0  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 3164708   2168 1831952    0    0     0   784 4104  482 95  3  0  3  0
 2  0      0 3163700   2168 1831964    0    0     0  1156 5548  543 93  3  0  4  0
 2  0      0 3163196   2168 1831984    0    0     0   688 3305  417 98  0  1  2  0
 2  0      0 3209312   2168 1836600    0    0     0  5300 4178  543 94  2  0  3  0
 2  0      0 3261472   2168 1838928    0    0     0 24968 6785 1942 88  6  2  5  0
 2  0      0 3256180   2168 1850596    0    0     0 13756 3572 1082 94  3  1  3  0
 2  0      0 3282388   2168 1833464    0    0     0  4580 5761 1059 94  3  0  3  0
 1  1      0 3282388   2168 1833484    0    0     0  1260 5266  530 91  6  0  4  0
 2  0      0 3282388   2168 1833500    0    0     0   748 3474  438 94  4  0  2  0
 2  0      0 3282388   2168 1833508    0    0     0  2988 5523  592 92  3  0  5  0
 3  0      0 3282388   2168 1833524    0    0     0  1352 3929  524 94  2  1  4  0
 4  0      0 3282388   2168 1833536    0    0     0   800 3915  463 93  4  0  3  0
 3  0      0 3282388   2168 1833548    0    0     0  1056 5647  532 92  5  0  4  0
 2  0      0 3282388   2168 1833564    0    0     0   620 3747  415 97  1  0  2  0
 2  0      0 3282388   2168 1833576    0    0     0  1032 4713  520 93  3  0  3  0
 2  0      0 3282388   2168 1833592    0    0     0   992 4351  486 96  2  0  3  0
 2  0      0 3282388   2168 1833604    0    0     0   696 3906  439 94  3  0  2  0
 0  1      0 3282388   2168 1833616    0    0     0  1320 5693  549 95  2  1  4  0
 2  0      0 3282388   2168 1833636    0    0     0   936 3866  440 92  5  0  3  0
 2  0      0 3274576   2168 1833648    0    0     0  2760 4699  531 92  4  0  4  0
 3  0      0 3273848   2168 1833664    0    0     0   964 4994  510 95  2  0  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 3273092   2168 1833684    0    0     0   780 4187  467 95  3  0  2  0
 2  0      0 3272840   2168 1833700    0    0     0  1212 5588  529 93  3  0  4  0
 2  0      0 3272840   2168 1833720    0    0     0   720 3751  450 96  2  0  3  0
 2  0      0 3271580   2168 1833732    0    0     0  1080 5078  542 93  4  0  4  0
 2  0      0 3270320   2168 1833748    0    0     0   928 4833  488 93  4  0  3  0
 2  0      0 3269060   2168 1833764    0    0     0   732 4230  464 94  3  0  2  0
 2  0      0 3267296   2168 1833776    0    0     0  1404 5547  557 95  1  0  4  0
 2  0      0 3266036   2168 1833796    0    0     0   876 3675  449 95  3  0  2  0
 2  0      0 3262256   2168 1833808    0    0     0  2676 4265  483 93  4  0  4  0
 2  0      0 3260744   2168 1833820    0    0     0  1232 4868  545 94  2  0  4  0
 2  0      0 3256208   2168 1833836    0    0     0   628 3767  436 94  4  0  2  0
 2  0      0 3254444   2168 1833848    0    0     0  1064 5185  540 91  6  0  3  0
 2  0      0 3252932   2168 1833868    0    0     0   844 4336  512 95  2  0  3  0
 2  0      0 3251924   2168 1833884    0    0     0   752 3956  446 93  4  0  3  0
 2  0      0 3250412   2168 1833896    0    0     0  1124 5264  509 90  6  0  4  0
 2  0      0 3249404   2168 1833912    0    0     0   636 3620  428 94  3  0  2  1
 3  0      0 3247388   2168 1833924    0    0     0  1236 4816  508 94  2  0  4  0
 2  0      0 3246128   2168 1833940    0    0     0  1156 4965  509 89  8  0  3  0
 2  0      0 3237056   2168 1833956    0    0     0  2516 3601  495 93  3  0  3  0
 2  0      0 3235796   2168 1833964    0    0     0  1484 5426  559 92  4  0  4  0
 2  0      0 3235292   2168 1833984    0    0     0   808 3609  463 95  3  0  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 3214376   2168 1833996    0    0     0   924 4394  528 93  3  0  3  0
 2  0      0 3198500   2168 1834004    0    0     0   936 4579  498 95  2  0  3  0
 2  0      0 3197744   2168 1834020    0    0     0   812 3429  468 95  2  0  3  0
 1  1      0 3196484   2168 1834032    0    0     0  1120 5250  524 91  5  0  4  0
 2  0      0 3186936   2168 1834048    0    0     0   692 3917  446 95  3  0  3  0
 2  0      0 3167784   2168 1834064    0    0     0  1040 4267  512 92  5  0  3  0
 2  0      0 3166020   2168 1834076    0    0     0  1540 5724  554 91  5  0  4  0
 2  0      0 3157228   2168 1834096    0    0     0  2324 3162  449 94  3  1  3  0
 2  0      0 3152188   2168 1834104    0    0     0   960 4984  526 90  6  0  4  0
 2  0      0 3127496   2168 1834120    0    0     0   848 4627  478 93  5  0  3  0
 2  0      0 3126488   2168 1834132    0    0     0   756 3710  451 93  4  0  3  0
 2  0      0 3125228   2168 1834144    0    0     0  1088 5516  522 92  4  0  3  0
 2  0      0 3123968   2168 1834160    0    0     0   812 4132  455 94  3  0  2  0
 2  0      0 3121448   2168 1834172    0    0     0   788 4278  469 95  3  0  3  0
 2  0      0 3109604   2168 1834184    0    0     0   984 4906  498 94  3  0  4  0
 2  0      0 3108596   2168 1834200    0    0     0   840 3311  448 96  2  0  2  0
 2  0      0 3095996   2168 1834212    0    0     0  1228 4860  523 93  3  0  3  0
 2  0      0 3092468   2168 1834224    0    0     0  2680 4243  512 96  0  0  4  0
 2  0      0 3084412   2168 1834244    0    0     0   780 4503  466 95  2  0  2  0
 2  0      0 3078616   2168 1834252    0    0     0  1068 5644  659 91  5  0  3  0
 2  0      0 3077860   2168 1834272    0    0     0   684 3493  441 94  4  1  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 3066520   2168 1834284    0    0     0   996 4907  515 96  0  0  3  0
 2  0      0 3045232   2168 1834300    0    0     0   836 4518  484 92  5  0  3  0
 2  0      0 3026584   2168 1834312    0    0     0   844 3781  492 91  6  0  3  0
 2  0      0 3024820   2168 1834320    0    0     0  1156 5664  533 94  2  0  4  0
 2  0      0 3023056   2168 1834340    0    0     0   912 3897  455 94  4  0  3  0
 2  0      0 3021544   2168 1834356    0    0     0  1232 4423  531 93  4  0  3  0
 2  0      0 3011972   2168 1834372    0    0     0  2692 4555  515 93  4  0  4  0
 2  0      0 3009704   2168 1834388    0    0     0   980 3716  455 96  2  0  3  0
 2  0      0 2993828   2168 1834396    0    0     0  1024 4726  527 91  5  0  3  0
 2  0      0 2992820   2168 1834412    0    0     0   868 3970  472 94  3  0  3  0
 2  0      0 2981228   2168 1834424    0    0     0   740 3941  442 97  1  0  2  0
 2  0      0 2979464   2168 1834440    0    0     0  1080 5345  522 94  2  0  3  0
 2  0      0 3010960   2168 1837344    0    0     0  6828 3268  856 96  1  0  3  0
 1  0      0 2997732   2168 1846268    0    0     0 21080 6836 1762 86  8  1  5  0
 2  0      0 3047896   2168 1846420    0    0     0 28472 7702 2056 84 11  1  4  0
 2  0      0 3044872   2168 1835720    0    0     0  6108 3871  953 94  4  1  3  0
 2  0      0 3044112   2168 1835728    0    0     0  2784 5027  541 92  3  1  4  0
 2  0      0 3043860   2168 1835748    0    0     0   796 4314  469 93  4  0  3  0
 2  0      0 3043608   2168 1835760    0    0     0   896 4420  505 95  2  0  3  0
 2  0      0 3043104   2168 1835772    0    0     0  1132 5984  556 92  5  0  3  0
 2  0      0 3042348   2168 1835788    0    0     0  2424 3408  860 95  3  0  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 3042352   2168 1835796    0    0     0  1184 5682  630 93  5  0  3  1
 2  0      0 3042100   2168 1835812    0    0     0   836 4695  485 95  2  0  3  0
