procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 1319424   2168 987848    0    0    50  3857 5474 2289 18  4 67 11  0
 2  0      0 1288424   2168 998652    0    0     0 54928 14271 15256 53 17 15 15  0
 0  0      0 1307960   2168 976476    0    0     0 33128 14083 16188 35 11 38 16  0
 2  0      0 1290068   2168 977476    0    0     0 11140 9159 13664 11  3 71 15  0
 1  0      0 1273688   2168 983068    0    0     0 53488 7163 5947 49 10 23 17  0
 0  1      0 1228332   2168 977888    0    0     0 53720 12089 12494 45 12 27 16  0
 0  0      0 1198784   2168 977888    0    0     0 17068 9503 13774 17  6 64 13  0
 1  0      0 1126712   2168 990920    0    0     0 51228 6714 6486 44 12 28 15  0
 1  0      0 1270424   2168 977556    0    0     0 58380 9171 8772 54 10 17 19  0
 2  0      0 1242992   2168 977520    0    0     0 18744 12301 16051 30  6 44 20  0
 0  0      0 1217792   2168 977520    0    0     0 16512 7364 10762 12  2 77 10  0
 1  0      0 1205444   2168 989008    0    0     0 28512 9747 14339 33  5 49 13  0
 4  0      0 1287840   2168 981592    0    0     0 47160 9269 6007 55 12 14 18  0
 0  0      0 1286328   2168 972780    0    0     0 54920 7288 5178 52  9 19 20  0
 1  1      0 1305612   2168 972788    0    0     0 11224 9398 13643 19  2 64 14  0
 2  0      0 1358500   2168 990604    0    0     0 57984 7429 5642 50 10 22 18  0
 1  1      0 1309660   2168 992008    0    0     0 55716 11485 8520 45 12 13 31  0
 0  0      0 1309660   2168 974756    0    0     0 19116 12813 19285 24  4 62 10  0
 0  0      0 1269024   2168 974756    0    0     0 17364 10653 15896 19  2 72  7  0
 1  0      0 1259188   2168 979924    0    0     0 48340 6588 7787 35 10 47  7  0
 2  0      0 1246348   2168 986076    0    0     0 67024 7115 5732 53 12 29  8  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1241236   2168 973180    0    0     0 38824 14687 19726 39 12 33 15  0
 1  0      0 1282592   2168 981240    0    0     0 37708 9444 11629 40  8 38 15  0
 0  0      0 1226080   2168 978332    0    0     0 61372 5468 5053 42  5 36 17  0
 0  1      0 1252584   2168 978336    0    0     0  5576 16696 24190 30  3 50 18  0
 2  1      0 1251828   2168 978336    0    0     0 18104 13987 20609 25  6 54 15  0
 1  0      0 1253224   2168 983676    0    0     0 55156 4319 4357 44 10 34 12  0
 1  0      0 1261256   2168 980124    0    0     0 54020 9439 8332 50 13 23 15  0
 1  1      0 1257588   2168 980128    0    0     0  6616 13762 16041 43  5 30 22  0
 1  1      0 1286808   2168 980128    0    0     0  2724 9858 3598 56  7 19 18  0
 2  0      0 1274916   2168 980128    0    0     0  3052 7801 7749 51  4 29 17  0
 0  0      0 1305432   2168 980128    0    0     0  3800 13885 16561 44  6 28 21  0
 0  0      0 1338700   2168 980128    0    0     0  3760 15329 21974 23  5 53 18  0
 2  0      0 1346008   2168 980132    0    0     0  3944 17172 25256 25  4 51 20  0
 0  1      0 1346008   2168 980132    0    0     0  5932 18548 27491 26  8 44 22  0
 3  0      0 1346008   2168 980132    0    0     0  2912 13548 20491 16  6 63 16  0
 0  1      0 1237284   2168 980132    0    0     0  3512 12600 15658 37  9 34 20  0
 2  0      0 1253560   2168 980132    0    0     0  3924 15047 17900 35  9 35 21  0
 1  0      0 1257552   2168 986848    0    0     0 22900 8825 11804 27  3 54 16  0
 2  0      0 1335964   2168 994148    0    0     0 62076 7309 6514 52 11 19 17  0
 0  0      0 1368928   2168 978768    0    0     0 30528 8818 10681 31  8 46 15  0
 0  1      0 1368724   2168 978772    0    0     0 17500 12182 18338 20  4 63 14  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 1346800   2168 979984    0    0     0 26060 10220 15421 24  3 63 11  0
 1  1      0 1287080   2168 990012    0    0     0 49588 8492 8026 54 12 19 16  0
 3  0      0 1288848   2168 989500    0    0     0 61584 15453 14577 54 18 13 16  0
 0  0      0 1273980   2168 978020    0    0     0 18756 8341 11583 22  4 62 12  0
 1  0      0 1274436   2168 984376    0    0     0 34872 6066 7630 30  9 47 13  0
 1  1      0 1212888   2168 992916    0    0     0 61332 7566 5353 55 10 19 16  0
 0  0      0 1195752   2168 979976    0    0     0 33132 12266 15605 37 11 33 19  0
 0  0      0 1185928   2168 979976    0    0     0 17128 10488 15589 21  5 65 10  0
 1  0      0 1216836   2168 986304    0    0     0 29384 8102 10489 29  7 47 17  0
 3  0      0 1130808   2168 989040    0    0     0 50528 8256 5909 48 13 21 18  0
 0  0      0 1140384   2168 977284    0    0     0 42080 8654 8275 39  9 33 20  0
 3  0      0 1134336   2168 977288    0    0     0 17564 9924 14171 17  4 66 13  0
 3  1      0 1215220   2168 986628    0    0     0 50508 8171 9486 41 13 31 15  0
 2  0      0 1093248   2168 981104    0    0     0 59096 10667 6040 51 15 13 21  0
 0  0      0 1098304   2168 980704    0    0     0 35908 8468 9857 38  6 46 10  0
 4  0      0 1118972   2168 986564    0    0     0 32824 8867 11922 34  6 54  7  0
 1  0      0 1119756   2168 986164    0    0     0 45004 8703 6774 53 11 24 12  0
 0  1      0 1119252   2168 981404    0    0     0 38360 7965 9193 29 10 46 15  0
 2  1      0 1194672   2168 981404    0    0     0 18868 12901 17053 29  6 46 19  0
 2  0      0 1213444   2168 991412    0    0     0 47188 8843 9039 43 14 27 17  0
 0  0      0 1226232   2168 984324    0    0     0 57820 8057 6937 50 10 24 17  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
