procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 11745928   2168 1550644    0    0     0  1692 1975 1215 63  4 22 11  0
 2  0      0 11745676   2168 1550648    0    0     0  1648 1542 1180 53  1 36 10  0
 2  0      0 11742904   2168 1550648    0    0     0  1888 1741 1170 65  2 22 10  0
 1  0      0 11737108   2168 1550648    0    0     0  3120 3594 5497 24  1 66  9  0
 0  0      0 11661756   2168 1562828    0    0     0  2236 4022 6203 31  2 57  9  0
 1  1      0 11639012   2168 1572616    0    0     0  1352 4647 7311 17  2 73  9  0
 0  0      0 11589804   2168 1582788    0    0     0 26356 5050 8393 16  3 71 11  0
 1  0      0 11492204   2168 1584852    0    0     0 13040 3292 4081 45  4 37 15  0
 2  0      0 11340524   2168 1594776    0    0     0 25232 1768 1296 78  5 12  6  0
 2  0      0 11342128   2168 1596020    0    0     0 41496 4753 2170 85  7  3  6  0
 2  0      0 11317432   2168 1604460    0    0     0 30280 9511 1633 79 12  1  8  0
 3  0      0 11347168   2168 1576560    0    0     0 23232 2829 1909 64  6 24  6  0
 1  0      0 11300072   2168 1576560    0    0     0 15948 2699 1946 66  5 26  4  0
 2  0      0 11339360   2168 1588232    0    0     0 29216 2208 1731 63  6 23  8  0
 2  0      0 11323516   2168 1582308    0    0     0 37168 5589 2512 85  6  2  8  0
 2  0      0 11346792   2168 1587584    0    0     0 31116 5337 2604 90  5  1  5  0
 1  1      0 11352836   2168 1577184    0    0     0 18444 3477 2444 58  7 27  8  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 11444204   2168 1583156    0    0     0 31164 3027 2011 73  8 14  5  0
 2  0      0 11414504   2168 1613496    0    0     0 32536 5859 2788 84  6  2  8  0
 1  0      0 11386652   2168 1577952    0    0     0 28984 2836 2310 72  7 17  4  0
 1  0      0 11366744   2168 1577952    0    0     0 16192 2202 2352 58  3 32  7  0
 2  0      0 11311568   2168 1583848    0    0     0 36856 1800 2007 66  9 21  5  0
 2  0      0 11316292   2168 1586076    0    0     0 23772 4457 1223 85 10  1  5  0
 2  0      0 11143792   2168 1610656    0    0     0 27668 8536 1573 81 10  2  7  0
 2  0      0 11199036   2168 1575804    0    0     0 35260 4722 2644 66  9 18  7  0
 2  0      0 11191728   2168 1578228    0    0     0 32044 2183 2370 61  3 30  6  0
 2  0      0 11200232   2168 1598432    0    0     0 30644 4449 1783 83  8  2  7  0
 2  0      0 11217256   2168 1579160    0    0     0 38904 4995 1576 81 10  4  5  0
 1  0      0 11224608   2168 1587268    0    0     0 24540 5640 2207 83  5  5  8  0
 2  0      0 11237740   2168 1572812    0    0     0 23312 2292 2476 55  5 36  5  0
 2  0      0 11230824   2168 1575132    0    0     0 17240 2048 2123 63  3 31  4  0
 2  0      0 11250484   2168 1598408    0    0     0 35552 3631 1686 89  5  1  5  0
 3  0      0 11242924   2168 1584308    0    0     0 44080 7463 3031 83 10  2  6  0
 1  1      0 11244772   2168 1571192    0    0     0 30596 3899 2518 61  7 23  9  0
 3  0      0 11284516   2168 1578068    0    0     0 22592 1800 2179 62  6 29  4  0
 2  0      0 11299900   2168 1589308    0    0     0 21300 4171 1466 87  7  1  6  0
 2  0      0 11294860   2168 1580244    0    0     0 42256 7255 2774 79 11  3  7  0
 1  0      0 11283772   2168 1581640    0    0     0 21048 5218 2728 72  8 14  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 11241468   2168 1568748    0    0     0 30792 2459 2357 59  6 30  5  0
 2  0      0 11411748   2168 1575944    0    0     0 22608 2088 2258 70  4 22  3  0
 2  0      0 11412336   2168 1596572    0    0     0 29620 6934 1911 84  7  1  7  0
 2  0      0 11397692   2168 1589296    0    0     0 46244 5713 2079 83  8  4  6  0
 1  1      0 11376516   2168 1566744    0    0     0 19320 2274 2026 64  4 27  6  0
 3  0      0 11426632   2168 1573296    0    0     0 24636 3869 1585 73  6 14  8  0
 2  0      0 11373980   2168 1572436    0    0     0 41992 5936 2356 79 11  3  7  0
 3  0      0 11392424   2168 1593976    0    0     0 35764 9110 2564 80 11  2  7  0
 2  0      0 11374744   2168 1568200    0    0     0 28624 2886 2559 58  4 33  4  0
 1  0      0 11354708   2168 1566004    0    0     0  8472 1616 1358 65  4 29  3  0
 2  0      0 11345472   2168 1585668    0    0     0 35380 4116 2339 73  9 13  5  0
 2  0      0 11374096   2168 1573224    0    0     0 42900 7044 3335 80 11  3  7  0
 2  0      0 11368812   2168 1566828    0    0     0 36116 5360 3655 71  7 13  8  0
 1  1      0 11368812   2168 1564576    0    0     0  1440 1792 1958 66  2 27  5  0
 2  0      0 11357500   2168 1585764    0    0     0 35912 3323 1326 79  7  7  6  0
 2  0      0 11377808   2168 1575712    0    0     0 54528 7744 2092 75 12  4  9  0
 1  0      0 11312048   2168 1565452    0    0     0 35576 3990 2136 75  6 12  7  0
 1  0      0 11230992   2168 1565452    0    0     0 16168 1882 1967 64  6 25  5  0
