procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 12494172   2168 1643704    0    0    41  1291 1014  316 34  2 61  3  0
 2  0      0 12489384   2168 1643800    0    0     0 11800 6583 4466 56  0 23 21  0
 2  0      0 12483340   2168 1655248    0    0     0 28296 3565 1488 87  7  0  5  0
 2  0      0 12506520   2168 1658400    0    0     0 31052 7548 1721 89  6  0  4  0
 2  0      0 12439104   2168 1656672    0    0     0 31420 6498 1362 88  8  1  4  0
 2  0      0 12423732   2168 1651308    0    0     0 41240 6788 1774 87  8  1  4  0
 3  0      0 12455892   2168 1651932    0    0     0 27912 3616 1095 91  5  0  4  0
 2  0      0 12436836   2168 1661956    0    0     0 18244 8305 1469 87  9  1  4  0
 2  0      0 12381708   2168 1658420    0    0     0 30988 6066 1234 89  6  1  3  0
 2  0      0 12333024   2168 1657948    0    0     0 39980 8728 2421 83 12  1  5  0
 2  0      0 12355128   2168 1659372    0    0     0 33488 4075  890 84 12  1  4  0
 2  0      0 12379824   2168 1668732    0    0     0 18624 8187 2185 87  9  1  4  0
 3  0      0 12389396   2168 1658092    0    0     0 22704 9000 1831 84  9  1  6  0
 3  0      0 12374280   2168 1657656    0    0     0 32440 5973 1285 89  9  0  3  0
 3  0      0 12326400   2168 1646060    0    0     0  6776 5709  637 91  7  1  2  0
 3  0      0 12295680   2168 1646072    0    0     0   652 7046  423 92  7  0  2  0
 3  0      0 12265860   2168 1646072    0    0     0   892 4631  710 93  5  0  2  0
 3  0      0 12268780   2168 1646076    0    0     0   844 3920  466 93  5  0  2  0
 3  0      0 12289556   2168 1646084    0    0     0   796 3012  486 96  2  0  2  0
 3  0      0 12291604   2168 1646092    0    0     0  1484 4613  608 93  3  0  4  0
 3  0      0 12317188   2168 1646096    0    0     0  1132 3524  513 93  4  1  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 12317184   2168 1646096    0    0     0  1580 3983  540 93  4  0  4  0
 3  0      0 12396872   2168 1646112    0    0     0  2644 4003  502 91  4  0  5  0
 3  0      0 12352332   2168 1646112    0    0     0   764 3490  468 93  5  0  3  0
 2  1      0 12361344   2168 1646120    0    0     0   844 5656  514 90  8  0  2  0
 5  0      0 12354036   2168 1647260    0    0     0 17068 3973  514 91  5  1  4  0
 3  0      0 12397260   2168 1658548    0    0     0 16136 5141 1200 88  9  1  3  0
 3  0      0 12367276   2168 1649380    0    0     0 35780 6778 1614 88  7  0  4  0
 4  0      0 12412244   2168 1647440    0    0     0 17624 3702  663 88  8  0  4  0
 3  0      0 12404052   2168 1647444    0    0     0 15788 3649  587 90  7  0  2  0
 3  0      0 12410980   2168 1654500    0    0     0 22900 4109 1263 90  6  0  3  0
 3  0      0 12441664   2168 1655208    0    0     0 15012 6549  986 86 11  0  3  0
 3  0      0 12415400   2168 1657416    0    0     0 38424 7777 1585 86 10  1  4  0
 3  0      0 12445628   2168 1647780    0    0     0 18008 6163 1243 91  6  1  3  0
 3  0      0 12455656   2168 1647832    0    0     0  8148 3945  495 97  1  0  2  0
 5  0      0 12447948   2168 1659568    0    0     0 35660 5763 1240 85  9  1  5  0
 3  0      0 12412192   2168 1658632    0    0     0 31328 6501 1225 86 11  0  3  0
 3  0      0 12429584   2168 1648464    0    0     0 24176 4824 1291 90  6  0  4  0
 3  0      0 12402932   2168 1648464    0    0     0 15676 3510  592 93  4  0  3  0
 3  0      0 12408544   2168 1653900    0    0     0 27988 5003 1099 85  9  1  4  0
 4  0      0 12398824   2168 1663952    0    0     0 17800 6495 1065 90  6  1  3  0
 2  1      0 12392368   2168 1656124    0    0     0 34112 8482 1334 81 13  1  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
