procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 5432864   2168 1589916    0    0    20  1417  669  241  8  2 84  7  0
 0  0      0 5431364   2168 1590032    0    0     0  3740 10777 16085 15  3 64 17  0
 0  1      0 5430608   2168 1590032    0    0     0  3036 8200 11750  9  4 73 14  0
 0  1      0 5429852   2168 1590032    0    0     0  2176 7530 11930  8  0 82  9  0
 0  1      0 5428088   2168 1590032    0    0     0  3536 10618 16312  9  5 71 15  0
 0  0      0 5426072   2168 1590032    0    0     0 11188 7388 10228  9  2 74 15  0
 0  0      0 5421788   2168 1590036    0    0     0  3136 4434 7159 10  1 85  4  0
 0  0      0 5420276   2168 1590036    0    0     0  1736 5827 9478  6  1 86  7  0
 0  0      0 5418512   2168 1590036    0    0     0  2488 7739 12042  6  2 81 11  0
 1  0      0 5417000   2168 1590036    0    0     0  2332 7620 11761  8  3 79 10  0
 0  0      0 5415236   2168 1590036    0    0     0  2728 8945 13976 14  3 73 11  0
 0  0      0 5412968   2168 1590040    0    0     0  3528 10824 16621 15  1 70 15  0
 0  0      0 5411204   2168 1590040    0    0     0  2364 8125 12598  6  4 80 10  0
 0  1      0 5409692   2168 1590040    0    0     0  2576 8539 13342 10  1 78 11  0
 0  0      0 5407424   2168 1590040    0    0     0  3668 10836 16661 17  1 68 14  0
 0  0      0 5405408   2168 1590044    0    0     0  2984 9290 14440 15  4 70 12  0
 0  0      0 5400872   2168 1590044    0    0     0  4024 7461 11462  9  1 81 10  0
 4  0      0 5398856   2168 1590044    0    0     0  3376 10559 16045  7  5 73 14  0
 0  0      0 5396588   2168 1590044    0    0     0  2848 9434 14686  9  4 75 12  0
 0  0      0 5395324   2168 1590044    0    0     0  2112 7257 11507  9  3 80  9  0
 3  0      0 5396080   2168 1590044    0    0     0  3224 11161 17002 14  5 68 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5396080   2168 1590044    0    0     0  3600 10989 16872 12  6 68 15  0
 0  1      0 5396080   2168 1590044    0    0     0  2188 7482 11779  9  3 80  9  0
 0  0      0 5396080   2168 1590044    0    0     0  3016 9704 15200 12  4 72 13  0
 3  0      0 5396080   2168 1590044    0    0     0  3636 10893 16721 18  1 67 14  0
 0  1      0 5395824   2168 1590044    0    0     0  2412 7807 11992 14  3 75  9  0
 2  0      0 5392044   2168 1590044    0    0     0  4472 8529 13164 12  2 74 12  0
 0  0      0 5389524   2168 1590044    0    0     0  3428 11267 17165 16  4 66 15  0
 0  0      0 5388012   2168 1590048    0    0     0  2436 8500 13980  8  4 78 11  0
 3  0      0 5387004   2168 1590048    0    0     0  1988 6440 11202  7  1 83  9  0
 1  1      0 5446620   2168 1593920    0    0     0  5648 8143 13674 18  3 67 12  0
 0  0      0 5454764   2168 1592528    0    0     0 49908 4676 5831 39 12 37 13  0
 0  0      0 5454544   2168 1592384    0    0     0  1960 6821 11749  7  2 83  9  0
 0  1      0 5453536   2168 1592384    0    0     0  2480 8629 14705  8  4 76 11  0
 0  0      0 5450012   2168 1592384    0    0     0  1656 5579 9512  4  2 89  6  0
 0  0      0 5446484   2168 1592384    0    0     0  2260 7500 12720 11  2 78  9  0
 0  0      0 5444720   2168 1592388    0    0     0  4504 8609 14727 11  3 76 12  0
 0  0      0 5444216   2168 1592388    0    0     0  1404 5020 8552  6  1 88  6  0
 0  0      0 5443460   2168 1592388    0    0     0  2412 7754 13270  7  2 80 11  0
 0  0      0 5442704   2168 1592388    0    0     0  2444 8150 13933  9  3 76 11  0
 0  1      0 5442200   2168 1592388    0    0     0  1392 4921 8457  3  1 91  5  0
 0  0      0 5441444   2168 1592392    0    0     0  2424 8235 14040  8  4 77 11  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5440940   2168 1592396    0    0     0  2128 7163 12239  6  2 83 10  0
 0  0      0 5440436   2168 1592400    0    0     0  1456 5316 9199  4  2 88  7  0
 0  0      0 5439680   2168 1592400    0    0     0  1644 4417 7711  6  2 86  5  0
 0  1      0 5438924   2168 1592400    0    0     0  2676 8170 13835  7  4 79 11  0
 0  1      0 5431140   2168 1592400    0    0     0  3412 5557 9494  9  3 80  8  0
 0  0      0 5429628   2168 1592400    0    0     0  2272 7691 13192  4  3 82 11  0
 0  0      0 5428116   2168 1592400    0    0     0  2536 8947 15258 12  2 75 11  0
 0  0      0 5427360   2168 1592400    0    0     0  1380 4978 8542  3  3 89  6  0
 0  0      0 5425848   2168 1592400    0    0     0  1976 6576 11306  6  0 85  9  0
 2  1      0 5424336   2168 1592400    0    0     0  2648 9037 15360 11  2 75 12  0
 0  0      0 5423832   2168 1592400    0    0     0  1352 5082 8770  6  2 87  6  0
 1  1      0 5422068   2168 1592400    0    0     0  2248 7524 12809  3  1 86 10  0
 0  0      0 5420556   2168 1592400    0    0     0  2628 8173 13858  7  3 80 11  0
 0  0      0 5419800   2168 1592404    0    0     0  1404 4948 8411  7  1 86  5  0
 0  1      0 5416272   2168 1592404    0    0     0  3992 7828 13227  7  5 78 10  0
 1  0      0 5414760   2168 1592404    0    0     0  2244 7937 13497  9  3 79 10  0
 0  0      0 5414004   2168 1592404    0    0     0  1448 5741 9822  7  3 84  6  0
 0  0      0 5412744   2168 1592404    0    0     0  2488 8282 14063  8  2 79 11  0
 0  0      0 5411232   2168 1592404    0    0     0  2208 7225 12413  6  3 80 10  0
 0  0      0 5410728   2168 1592404    0    0     0   764 2662 4600  3  1 94  3  0
 0  0      0 5249592   2168 1592404    0    0     0  1576 5392 6830 20  9 65  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5230944   2168 1592404    0    0     0  1956 6612 11153  7  2 82  9  0
 0  0      0 5229432   2168 1592404    0    0     0  2828 8425 14479  6  2 80 13  0
