procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 682212    840 799156    0    0    66  4652 3778 2605 67  5 17 12  0
 1  1      0 725332    840 799236    0    0     0  5636 11463 13692 41  6 21 32  0
 2  0      0 742844    840 799244    0    0     0  1940 4967  794 86  5  0  9  0
 2  0      0 723468    840 799260    0    0     0  3684 6371  963 82  5  0 14  0
 2  0      0 617368    840 799280    0    0     0  1820 5611  875 83  7  0 10  0
 2  0      0 530168    840 799288    0    0     0  5268 5302 1203 84  5  1  9  0
 2  0      0 528404    840 799308    0    0     0  2456 7273 1104 81  3  0 15  0
 2  0      0 488336    840 799328    0    0     0  1716 5731  856 83  6  0 11  0
 5  0      0 458360    840 814504    0    0     0 50012 8111 2351 79 13  2  7  0
 2  0      0 475296    840 814320    0    0     0 20640 9793 1535 84 10  1  6  0
 2  0      0 403404    840 800296    0    0     0 51660 8751 2669 84 11  1  5  0
 2  0      0 382512    840 802520    0    0     0 27288 7222 1956 84  4  1 12  0
 2  0      0 409220    840 812776    0    0     0 32460 11585 3138 84  8  1  7  0
 2  0      0 358504    840 808528    0    0     0 39676 7048 1386 86  7  0  6  0
 2  0      0 478228    840 798908    0    0     0 36852 10535 2360 83 10  2  6  0
 2  0      0 464500    840 804244    0    0     0 21540 6627 1040 91  5  0  5  0
 2  0      0 473692    840 818236    0    0     0 28016 11030 2680 80 11  1  9  0
 2  0      0 437840    840 803096    0    0     0 47772 10203 2997 79 13  1  7  0
 1  1      0 401548    840 801532    0    0     0 32344 4106  915 91  5  0  5  0
 2  0      0 462336    840 809940    0    0     0 28940 6601 1224 83  9  1  6  0
 2  0      0 470148    840 809012    0    0     0 24988 9840 1769 81 12  1  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 397356    840 803712    0    0     0 43408 10506 3295 82 12  1  5  0
 2  0      0 322192    840 800340    0    0     0 40212 8468 1516 86  7  1  7  0
 2  0      0 338072    840 808016    0    0     0 37432 8688 1854 80 12  2  6  0
 2  0      0 371100    840 812084    0    0     0 42912 11547 2557 78 13  1  7  0
 2  0      0 379068    840 807832    0    0     0 40696 7398 2185 86  8  1  5  0
 2  0      0 375216    840 798040    0    0     0 29384 11043 1995 83 11  0  5  0
 3  0      0 415436    840 806152    0    0     0 30124 8089 2023 83 11  1  6  0
 3  1      0 329652    840 812772    0    0     0 42480 10528 1879 78 15  1  6  0
 1  1      0 351652    840 800580    0    0     0 33420 10654 3151 82 11  1  7  0
 2  0      0 340592    840 803408    0    0     0 32968 4704 1036 91  3  0  6  0
 2  0      0 356192    840 819432    0    0     0 27780 10276 2323 85 11  0  4  0
 1  1      0 342884    840 816696    0    0     0 47976 9812 2201 85  9  1  6  0
 3  0      0 328772    840 803348    0    0     0 33396 7259 1494 89  5  0  5  0
 2  0      0 322348    840 812312    0    0     0 34252 6459 1685 88  7  1  5  0
 1  1      0 283044    840 813684    0    0     0 46468 11546 2322 83 10  1  6  0
