Linux 6.1.166-197.305.amzn2023.x86_64 (ip-172-31-35-8.ec2.internal) 	04/22/26 	_x86_64_	(2 CPU)

17:03:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:03:11     all   11.17    0.00    4.06    3.55    0.00    0.00    0.00    0.00    0.00   81.22
17:03:12     all   13.40    0.00    2.06    8.76    0.00    0.00    0.00    0.00    0.00   75.77
17:03:13     all   22.28    0.00    4.95    6.93    0.00    0.99    0.00    0.00    0.00   64.85
17:03:14     all   16.50    0.00    2.50    8.50    0.00    1.50    0.00    0.00    0.00   71.00
17:03:15     all   17.07    0.00    3.90    7.80    0.00    0.49    0.00    0.00    0.00   70.73
17:03:16     all   36.73    0.00    1.02    9.69    0.00    0.51    0.00    0.00    0.00   52.04
17:03:17     all   56.77    0.00    4.17   14.06    0.00    0.00    0.00    0.00    0.00   25.00
17:03:18     all   65.15    0.00    5.05   10.61    0.00    1.01    0.00    0.00    0.00   18.18
17:03:19     all   58.71    0.00    1.99   13.43    0.00    1.49    0.00    0.00    0.00   24.38
17:03:20     all   70.50    0.00    0.00   11.00    0.00    0.50    0.00    0.00    0.00   18.00
17:03:21     all   60.10    0.00    0.51   14.65    0.00    1.01    0.00    0.00    0.00   23.74
17:03:22     all   41.97    0.00    3.11   10.36    0.00    1.04    0.00    0.00    0.00   43.52
17:03:23     all   33.66    0.00    4.39   10.24    0.00    0.49    0.00    0.00    0.00   51.22
17:03:24     all   20.90    0.00    5.97   10.95    0.00    0.50    0.00    0.00    0.00   61.69
17:03:25     all   33.33    0.00    5.13   10.77    0.00    0.00    0.00    0.00    0.00   50.77
17:03:26     all   60.21    0.00    4.19   14.14    0.00    0.52    0.00    0.00    0.00   20.94
17:03:27     all   68.81    0.00    2.97    5.45    0.00    0.50    0.00    0.00    0.00   22.28
17:03:28     all   87.19    0.00    4.43    6.40    0.00    0.49    0.00    0.00    0.00    1.48
17:03:29     all   82.14    0.00   10.71    5.61    0.00    0.00    0.00    0.00    0.00    1.53
17:03:30     all   78.79    0.00    9.09    9.09    0.00    0.51    0.00    0.00    0.00    2.53
17:03:31     all   61.03    0.00    5.13    9.23    0.00    0.00    0.00    0.00    0.00   24.62
17:03:32     all   62.44    0.00    3.55    6.60    0.00    0.00    0.00    0.00    0.00   27.41
17:03:33     all   84.31    0.00    8.82    5.88    0.00    0.00    0.00    0.00    0.00    0.98
17:03:34     all   82.83    0.00    9.09    5.56    0.00    0.00    0.00    0.00    0.00    2.53
17:03:35     all   62.93    0.00    7.32   11.71    0.00    0.00    0.00    0.00    0.00   18.05
17:03:36     all   62.81    0.00    5.03    4.02    0.00    1.01    0.00    0.00    0.00   27.14
17:03:37     all   88.56    0.00    6.97    3.98    0.00    0.00    0.00    0.00    0.00    0.50
17:03:38     all   80.30    0.00   11.62    4.55    0.00    0.51    0.00    0.00    0.00    3.03
17:03:39     all   63.24    0.00    6.86    4.41    0.00    0.49    0.00    0.00    0.00   25.00
17:03:40     all   68.16    0.00    4.48    3.98    0.00    1.49    0.00    0.00    0.00   21.89
17:03:41     all   82.50    0.00   10.00    4.50    0.00    0.00    0.00    0.00    0.00    3.00
17:03:42     all   90.50    0.00    5.50    3.00    0.00    0.50    0.00    0.00    0.00    0.50
17:03:43     all   74.62    0.00    6.60    5.08    0.00    0.00    0.00    0.00    0.00   13.71
17:03:44     all   57.84    0.00    5.39    4.90    0.00    0.00    0.00    0.00    0.00   31.86
17:03:45     all   74.11    0.00    5.58    8.12    0.00    0.51    0.00    0.00    0.00   11.68
17:03:46     all   82.00    0.00    8.00    8.00    0.00    0.50    0.00    0.00    0.00    1.50
17:03:47     all   85.28    0.00    5.58    8.12    0.00    0.00    0.00    0.00    0.00    1.02
17:03:48     all   63.55    0.00    3.94    5.91    0.00    0.49    0.00    0.00    0.00   26.11
17:03:49     all   68.88    0.00    4.59    6.63    0.00    0.00    0.00    0.00    0.00   19.90
17:03:50     all   80.20    0.00    8.91    8.91    0.00    0.50    0.00    0.00    0.00    1.49
17:03:51     all   82.90    0.00    8.29    5.70    0.00    0.00    0.00    0.00    0.00    3.11
17:03:52     all   69.85    0.00    6.53    7.54    0.00    1.01    0.00    0.00    0.00   15.08
17:03:53     all   58.50    0.00    2.50    3.50    0.00    1.50    0.00    0.00    0.00   34.00
17:03:54     all   79.38    0.00    3.61    4.64    0.00    0.00    0.00    0.00    0.00   12.37
17:03:55     all   85.86    0.00    7.58    5.56    0.00    0.51    0.00    0.00    0.00    0.51
17:03:56     all   75.38    0.00    6.03    7.54    0.00    0.00    0.00    0.00    0.00   11.06
17:03:57     all   62.89    0.00    1.03   11.34    0.00    0.00    0.00    0.00    0.00   24.74
17:03:58     all   74.11    0.00    7.11    8.12    0.00    0.00    0.00    0.00    0.00   10.66
17:03:59     all   79.41    0.00   10.78    6.86    0.00    0.00    0.00    0.00    0.00    2.94
17:04:00     all   82.05    0.00    9.74    7.18    0.00    0.00    0.00    0.00    0.00    1.03
17:04:01     all   67.16    0.00    4.48    7.46    0.00    0.50    0.00    0.00    0.00   20.40
17:04:02     all   58.97    0.00    2.56    6.15    0.00    0.00    0.00    0.00    0.00   32.31
17:04:03     all   83.42    0.00    4.52    5.03    0.00    0.00    0.00    0.00    0.00    7.04
17:04:04     all   81.00    0.00   10.00    7.00    0.00    0.50    0.00    0.00    0.00    1.50
17:04:05     all   81.44    0.00    6.19    6.19    0.00    0.00    0.00    0.00    0.00    6.19
17:04:06     all   55.33    0.00    6.09    9.14    0.00    1.02    0.00    0.00    0.00   28.43
17:04:07     all   79.70    0.00   12.69    6.09    0.00    0.51    0.00    0.00    0.00    1.02
17:04:08     all   81.68    0.00    8.42    8.42    0.00    0.99    0.00    0.00    0.00    0.50
17:04:09     all   83.76    0.00    6.09    5.08    0.00    0.51    0.00    0.00    0.00    4.57
17:04:10     all   54.59    0.00    5.61    3.06    0.00    0.00    0.00    0.00    0.00   36.73
17:04:11     all   84.88    0.00   10.24    3.90    0.00    0.49    0.00    0.00    0.00    0.49
17:04:12     all   87.25    0.00    6.37    3.43    0.00    0.49    0.00    0.00    0.00    2.45
17:04:13     all   83.58    0.00    2.49    3.48    0.00    0.00    0.00    0.00    0.00   10.45
17:04:14     all   61.58    0.00    5.42    4.93    0.00    0.00    0.00    0.00    0.00   28.08
17:04:15     all   63.82    0.00    4.02    5.03    0.00    0.50    0.00    0.00    0.00   26.63
17:04:16     all   83.42    0.00   11.06    5.03    0.00    0.00    0.00    0.00    0.00    0.50
17:04:17     all   82.35    0.00    8.33    5.88    0.00    0.49    0.00    0.00    0.00    2.94
17:04:18     all   70.35    0.00    6.53    8.04    0.00    0.00    0.00    0.00    0.00   15.08
17:04:19     all   65.31    0.00    3.57   10.20    0.00    0.00    0.00    0.00    0.00   20.92
17:04:20     all   74.75    0.00   12.87    8.91    0.00    0.00    0.00    0.00    0.00    3.47
17:04:21     all   84.42    0.00    8.04    6.53    0.00    0.00    0.00    0.00    0.00    1.01
17:04:22     all   85.86    0.00    5.56    5.56    0.00    0.51    0.00    0.00    0.00    2.53
17:04:23     all   57.07    0.00    4.04    7.07    0.00    0.51    0.00    0.00    0.00   31.31
17:04:24     all   71.86    0.00    4.52    6.53    0.00    0.50    0.00    0.00    0.00   16.58
17:04:25     all   80.00    0.00    9.50    7.50    0.00    0.00    0.00    0.00    0.00    3.00
17:04:26     all   88.32    0.00    3.55    7.11    0.00    0.00    0.00    0.00    0.00    1.02
17:04:27     all   61.11    0.00    3.03    8.08    0.00    0.00    0.00    0.00    0.00   27.78
17:04:28     all   75.50    0.00    6.50    7.50    0.00    0.00    0.00    0.00    0.00   10.50
17:04:29     all   80.00    0.00   11.79    5.64    0.00    0.51    0.00    0.00    0.00    2.05
17:04:30     all   77.66    0.00   13.71    7.11    0.00    0.00    0.00    0.00    0.00    1.52
17:04:31     all   77.27    0.00    3.54    6.57    0.00    0.51    0.00    0.00    0.00   12.12
17:04:32     all   56.35    0.00    3.05    4.57    0.00    0.51    0.00    0.00    0.00   35.53
17:04:33     all   79.02    0.00   10.24    7.80    0.00    0.00    0.00    0.00    0.00    2.93
17:04:34     all   75.49    0.00    9.80    6.37    0.00    0.49    0.00    0.00    0.00    7.84
17:04:35     all   81.19    0.00    2.97    6.93    0.00    0.00    0.00    0.00    0.00    8.91
17:04:36     all   61.39    0.00    3.96   11.39    0.00    0.50    0.00    0.00    0.00   22.77
17:04:37     all   81.68    0.00    7.92    8.42    0.00    0.50    0.00    0.00    0.00    1.49
17:04:38     all   77.61    0.00   11.44    8.46    0.00    0.00    0.00    0.00    0.00    2.49
17:04:39     all   81.54    0.00    6.67    6.67    0.00    0.00    0.00    0.00    0.00    5.13
17:04:40     all   52.04    0.00    4.59   10.20    0.00    0.00    0.00    0.00    0.00   33.16
17:04:41     all   56.10    0.00    3.41   15.61    0.00    0.98    0.00    0.00    0.00   23.90
17:04:42     all   74.62    0.00    6.60    5.58    0.00    0.00    0.00    0.00    0.00   13.20
17:04:43     all   38.81    0.00    9.95   10.45    0.00    0.00    0.00    0.00    0.00   40.80
17:04:44     all   33.33    0.00    5.47    9.95    0.00    0.00    0.00    0.00    0.00   51.24
17:04:45     all    8.33    0.00    1.56    9.38    0.00    0.00    0.00    0.00    0.00   80.73
17:04:46     all   10.24    0.00    4.39    5.85    0.00    0.00    0.00    0.00    0.00   79.51
17:04:47     all   29.95    0.00    5.58   10.15    0.00    0.00    0.00    0.00    0.00   54.31
17:04:48     all   11.00    0.00    0.50    6.50    0.00    1.00    0.00    0.00    0.00   81.00
17:04:49     all   18.88    0.00    2.04   11.73    0.00    0.00    0.00    0.00    0.00   67.35
17:04:50     all   12.56    0.00    2.51    8.04    0.00    1.51    0.00    0.00    0.00   75.38
17:04:51     all   63.78    0.00    1.02   12.76    0.00    0.00    0.00    0.00    0.00   22.45
17:04:52     all   58.17    0.00    1.44   12.98    0.00    0.48    0.00    0.00    0.00   26.92
17:04:53     all   64.62    0.00    4.10   13.85    0.00    0.00    0.00    0.00    0.00   17.44
17:04:54     all   58.33    0.00    5.21   10.42    0.00    0.00    0.00    0.00    0.00   26.04
17:04:55     all   57.07    0.00    0.51   14.65    0.00    0.51    0.00    0.00    0.00   27.27
17:04:56     all   61.46    0.00    0.98   11.71    0.00    0.98    0.00    0.00    0.00   24.88
17:04:57     all   26.90    0.00    4.57   10.15    0.00    0.00    0.00    0.00    0.00   58.38
17:04:58     all   34.13    0.00    4.33    9.62    0.00    0.48    0.00    0.00    0.00   51.44
17:04:59     all   31.98    0.00    2.03   15.23    0.00    0.00    0.00    0.00    0.00   50.76
17:05:00     all   53.73    0.00    6.47   10.45    0.00    0.50    0.00    0.00    0.00   28.86
17:05:01     all   72.86    0.00    2.51    7.04    0.00    1.51    0.00    0.00    0.00   16.08
