procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 1455244   2168 993520    0    0   100  1540 3089 2144 58  3 29 10  0
 2  0      0 1451716   2168 993484    0    0     0  4688 9872 14835 41  7 35 17  0
 2  0      0 1447936   2168 993484    0    0     0  1560 5655  885 86  5  0  8  0
 2  0      0 1395268   2168 993492    0    0     0  1740 6200  857 88  3  0 10  0
 1  1      0 1327500   2168 993504    0    0     0  1608 5728  827 82  8  1  9  0
 2  0      0 1306332   2168 993508    0    0     0  1624 5829  829 86  5  1  9  0
 2  0      0 1305072   2168 993516    0    0     0  1704 5988 1288 86  4  1  9  0
 2  0      0 1303560   2168 993524    0    0     0  1904 6241 1003 86  3  0 10  0
 2  0      0 1302552   2168 993536    0    0     0  1476 4928  774 87  5  0  8  0
 2  0      0 1300788   2168 993540    0    0     0  2120 4927  771 90  2  0  8  0
 2  0      0 1299780   2168 993548    0    0     0  4932 6458 1131 86  4  1 10  0
 1  1      0 1290960   2168 993556    0    0     0  3280 6143  820 87  3  0  9  0
 2  0      0 1289952   2168 993568    0    0     0  1888 5303  800 87  5  0  8  0
 2  0      0 1288944   2168 993572    0    0     0  1456 5228  728 90  2  1  8  0
 2  0      0 1287936   2168 993580    0    0     0  1800 6382  856 86  4  0 10  0
 2  1      0 1287184   2168 993596    0    0     0  1564 5842  774 89  2  0  9  0
 3  0      0 1286428   2168 993604    0    0     0  1488 5514  759 90  3  0  8  0
 3  0      0 1285420   2168 993608    0    0     0  1728 6124  806 86  4  0  9  0
 3  0      0 1284412   2168 993620    0    0     0  1864 6515  904 87  2  0 10  0
 3  0      0 1273540   2168 993844    0    0     8  1992 5032  756 89  3  0  8  0
 3  0      0 1272788   2168 993848    0    0     0  1492 5052  732 88  4  0  8  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 1270016   2168 993856    0    0     0  3248 6274  849 88  2  1 10  0
 3  0      0 1269008   2168 993868    0    0     0  1744 5951  858 85  6  0  9  0
