workload,threads,transactions_per_sec,queries_per_sec,avg_latency_ms,p95_latency_ms,ignored_errors_per_sec,reconnects_per_sec
oltp_read_only,16,49.72,795.52,320.97,707.07,0.00,0.00
oltp_read_only,32,58.40,934.40,546.64,1050.76,0.00,0.00
oltp_read_only,4,39.86,637.76,100.34,219.36,0.00,0.00
oltp_read_only,8,40.67,650.72,196.66,520.62,0.00,0.00
oltp_read_write,16,34.74,694.95,460.00,831.46,0.01,0.00
oltp_read_write,32,40.46,809.26,788.17,1304.21,0.01,0.00
oltp_read_write,4,20.76,415.24,192.60,502.20,0.00,0.00
oltp_read_write,8,26.45,529.33,302.22,657.93,0.02,0.00
