procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 13076328   2168 1528940    0    0    29  4186 1739 2159 24  3 69  5  0
 0  0      0 13076328   2168 1528904    0    0     0  3300 7877 13002  4  2 75 19  0
 3  1      0 13076328   2168 1528904    0    0     0  2224 7229 12336  6  1 79 14  0
 0  1      0 13076328   2168 1528904    0    0     0  3112 9382 15966  4  4 73 19  0
 0  1      0 13076328   2168 1528904    0    0     0  2408 7306 12416  5  3 78 15  0
 0  0      0 13075824   2168 1528904    0    0     0  2248 5648 9163  7  3 76 14  0
 0  0      0 13094724   2168 1528904    0    0     0  6444 10413 17008 10  1 69 19  0
 0  1      0 13094724   2168 1528904    0    0     0  2912 7785 13418  5  0 79 15  0
 0  1      0 13094724   2168 1528904    0    0     0  3532 6704 11469  5  3 81 12  0
 0  1      0 13094724   2168 1528904    0    0     0  3044 9071 15483  8  1 74 18  0
 0  0      0 13094724   2168 1528904    0    0     0  2616 8021 13802  3  3 78 16  0
 0  0      0 13094724   2168 1528904    0    0     0  1932 6354 10972  2  2 84 11  0
 0  0      0 13094724   2168 1528904    0    0     0  3236 7442 11964  7  2 71 21  0
 1  0      0 13094724   2168 1528904    0    0     0  2388 7115 12044  4  2 80 15  0
 0  0      0 13094724   2168 1528904    0    0     0  1208 4500 7821  5  3 85  7  0
 0  1      0 13094724   2168 1528908    0    0     0  1980 6345 10752  1  1 86 12  0
 1  1      0 13135800   2168 1542464    0    0     0 28152 7090 10632 21  7 52 21  0
 0  1      0 13129752   2168 1530496    0    0     0 46808 4961 6068 36 10 35 19  0
 0  1      0 13120680   2168 1530500    0    0     0  4396 8245 13900 11  1 73 16  0
 0  0      0 13119924   2168 1530500    0    0     0  3084 9350 15922  6  3 74 18  0
 0  0      0 13119420   2168 1530500    0    0     0  1700 5990 10379  3  1 86 11  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 13118916   2168 1530500    0    0     0  2980 9314 16034  4  3 75 18  0
 0  0      0 13118160   2168 1530500    0    0     0  2960 8810 15159  7  1 75 17  0
 0  0      0 13117656   2168 1530500    0    0     0  2016 6663 11440  2  1 85 12  0
 0  1      0 13117152   2168 1530500    0    0     0  2560 8228 14147  4  2 79 16  0
 0  0      0 13116396   2168 1530500    0    0     0  3128 9681 16651  5  2 73 19  0
 0  0      0 13115896   2168 1530500    0    0     0  2244 6639 11220  5  3 80 12  0
 1  1      0 13115140   2168 1530500    0    0     0  2928 8274 13944  4  2 78 16  0
 0  0      0 13112872   2168 1530504    0    0     0  4664 10248 16970  9  2 70 19  0
 2  0      0 13112368   2168 1530504    0    0     0  1808 6370 10530  9  1 81 10  0
