procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 3472744   2168 1764616    0    0    21  1275 1539  776 39  2 54  5  0
 2  0      0 3472744   2168 1764604    0    0     0   188 2697 3350  9  1 90  1  0
 2  0      0 3472492   2168 1764604    0    0     0   448 4588  505 95  3  0  3  0
 1  1      0 3472240   2168 1764624    0    0     0  1300 7468  737 88  4  0  7  0
 2  0      0 3471988   2168 1764648    0    0     0   976 5734  610 91  4  0  6  0
 2  0      0 3470728   2168 1764656    0    0     0  2708 5897  711 90  3  0  7  0
 2  0      0 3470476   2168 1764676    0    0     0  1180 7362  765 87  5  1  8  0
 3  0      0 3470224   2168 1764700    0    0     0   696 5052  582 90  5  0  5  0
 3  0      0 3469972   2168 1764708    0    0     0  1168 7176  774 87  5  0  8  0
 2  1      0 3469720   2168 1764728    0    0     0   752 5118  583 94  1  0  5  0
 3  0      0 3469468   2168 1764740    0    0     0  1012 7061  721 87  5  1  8  0
 3  0      0 3469468   2168 1764764    0    0     0   936 6383  692 90  4  0  7  0
 3  1      0 3469216   2168 1764776    0    0     0   820 6118  647 91  3  0  5  0
 4  0      0 3468488   2168 1764792    0    0     0  1284 7566  734 88  5  0  7  0
 4  0      0 3468236   2168 1764812    0    0     0   836 5004  564 92  4  0  5  0
 4  0      0 3466724   2168 1764828    0    0     0 10308 7095  957 89  2  0  9  0
 4  0      0 3466724   2168 1764848    0    0     0   804 5667  616 89  6  0  6  0
 4  0      0 3466472   2168 1764860    0    0     0   924 6596  711 89  5  0  7  0
 4  0      0 3466220   2168 1764880    0    0     0  1024 6542  714 88  4  0  7  0
 3  1      0 3466220   2168 1764892    0    0     0   744 4759  585 91  4  0  5  0
 4  0      0 3465968   2168 1764912    0    0     0  1180 7454  746 88  3  0  9  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 3465716   2168 1764928    0    0     0   756 5540  608 91  4  0  5  0
 4  0      0 3464204   2168 1764928    0    0     0  1028 6991  745 90  2  0  7  0
 3  0      0 3463952   2168 1764964    0    0     0  1152 6505  689 89  4  0  6  0
 4  0      0 3463700   2168 1764976    0    0     0  1208 5897  958 86  5  2  6  0
 3  1      0 3459416   2168 1764992    0    0     0  3084 6983  895 83  6  1 10  0
 4  0      0 3458912   2168 1765008    0    0     0   676 4545  586 92  3  0  4  0
 4  0      0 3458408   2168 1765020    0    0     0  1184 6760  762 87  4  0  9  0
 4  0      0 3458156   2168 1765048    0    0     0   936 5916  682 91  2  1  7  0
 4  0      0 3457652   2168 1765060    0    0     0   948 6367  684 90  4  0  7  0
 4  0      0 3457148   2168 1765080    0    0     0  1128 7222  755 88  4  0  8  0
 3  1      0 3456896   2168 1765096    0    0     0   652 5251  562 93  3  0  5  0
 4  0      0 3456392   2168 1765112    0    0     0  1184 7556  764 87  4  0  9  0
 4  0      0 3455888   2168 1765128    0    0     0   944 5132  620 93  2  0  5  0
 4  0      0 3453872   2168 1765144    0    0     0  1208 6179  716 86  7  0  7  0
