procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 12007684   2168 1734636    0    0    28  3926 1607  469 49  3 43  4  0
 2  0      0 12007556   2168 1734736    0    0     0  4712 5929 3452 70  3  6 22  0
 2  0      0 12007556   2168 1734740    0    0     0  1248 3278  602 92  2  0  5  0
 2  0      0 12007556   2168 1734748    0    0     0  1864 4090  756 87  4  1  9  0
 2  0      0 12007556   2168 1734760    0    0     0  2204 4692  837 89  1  0 11  0
 2  0      0 12007556   2168 1734768    0    0     0  1196 2741  576 93  2  0  5  0
 2  0      0 12007556   2168 1734776    0    0     0  1924 4349  817 86  4  0  9  0
 2  0      0 12007556   2168 1734788    0    0     0  2872 4796  838 86  4  1 10  0
 2  0      0 12007556   2168 1734800    0    0     0  1464 3168  586 91  3  0  6  0
 2  0      0 11981852   2168 1734804    0    0     0  3528 3968  800 87  4  0  9  0
 2  0      0 11980340   2168 1734816    0    0     0  2128 4789  822 87  3  0 10  0
 2  0      0 11979584   2168 1734828    0    0     0  1460 3307  644 89  4  0  7  0
 2  0      0 11978324   2168 1734836    0    0     0  1680 4027  793 90  2  0  7  0
 2  0      0 11976056   2168 1735620    0    0     0  2028 4560  800 86  5  1  9  0
 2  0      0 12011080   2168 1753628    0    0     0 20080 6410 2405 82 10  1  7  0
 2  0      0 11993436   2168 1749616    0    0     0 23824 6600 1994 84  9  1  6  0
 2  0      0 12018888   2168 1738344    0    0     0 15096 6291  936 82  5  1 11  0
 2  0      0 12018888   2168 1738356    0    0     0  2352 4352  966 87  2  0 10  0
 2  0      0 12018664   2168 1738364    0    0     0  1688 2943  602 92  2  0  5  0
 2  0      0 12017652   2168 1738372    0    0     0  3768 4680  842 85  5  0 11  0
 2  0      0 12017148   2168 1738384    0    0     0  1684 3808  676 90  3  0  8  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 11993472   2168 1738392    0    0     0  1376 3238  609 89  5  0  6  0
 2  0      0 11992716   2168 1738404    0    0     0  2284 4864  852 86  4  0 11  0
 2  0      0 11991960   2168 1738416    0    0     0  2068 4269  821 86  4  0 10  0
 2  0      0 11977340   2168 1738424    0    0     0  1268 3029  617 90  4  0  6  0
 2  0      0 11976584   2168 1738432    0    0     0  2204 4596  874 86  4  0 11  0
 2  0      0 11975832   2168 1738444    0    0     0  1976 4292  769 85  5  0  9  0
 2  0      0 11975580   2168 1738452    0    0     0  1668 3110  649 90  4  0  6  0
 2  0      0 11974828   2168 1738468    0    0     0  2264 4567  827 85  5  0 10  0
 2  0      0 11972808   2168 1738480    0    0     0  3520 4310  752 87  4  0  9  0
 2  0      0 11972332   2168 1738492    0    0     0  1324 3240  660 93  1  0  6  0
 2  0      0 11971576   2168 1738500    0    0     0  2144 4632  810 85  5  0 10  0
