procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 13249996   2168 1468432    0    0    38  2081 1426 2326  6  1 88  4  0
 0  1      0 13234624   2168 1468396    0    0     0 18660 10748 18403 13  5 61 22  0
 2  0      0 13282432   2168 1474048    0    0     0 31964 5843 9303 26  4 57 12  0
 2  0      0 13183404   2168 1488120    0    0     0 58176 6572 6114 44 12 30 14  0
 0  0      0 13230276   2168 1467068    0    0     0 20576 10490 17615 17  5 55 22  0
 0  1      0 13280972   2168 1467072    0    0     0 23696 7679 12750 12  6 67 14  0
 1  1      0 13315408   2168 1476088    0    0     0 36768 7501 11406 30  6 46 18  0
 0  0      0 13289036   2168 1471476    0    0     0 50152 2814 3287 34  7 48 11  0
 0  0      0 13288280   2168 1471480    0    0     0  2280 5335 9125  4  3 87  7  0
 0  0      0 13274256   2168 1471484    0    0     0 18948 9677 12292 17  5 64 14  0
 1  0      0 13292616   2168 1476252    0    0     0 33444 7210 11577 31  7 48 15  0
 3  0      0 13283076   2168 1485436    0    0     0 58232 4752 3904 42 14 32 13  0
 3  1      0 13337512   2168 1469668    0    0     0 22132 7193 11329 30  3 49 19  0
 0  0      0 13327620   2168 1469668    0    0     0 17368 8174 13498 10  4 74 13  0
 1  0      0 13336320   2168 1482680    0    0     0 37160 6870 10360 40  6 38 16  0
 0  0      0 13304820   2168 1474092    0    0     0 50784 5015 6857 34  7 46 13  0
 0  0      0 13290456   2168 1474100    0    0     0 10444 3904 6459  6  2 87  5  0
 0  0      0 13290204   2168 1474100    0    0     0  3876 11431 19090  7  3 69 21  0
 3  0      0 13290204   2168 1474100    0    0     0  3140 9272 15511 12  3 70 15  0
 2  0      0 13235196   2168 1483552    0    0     0 44416 4774 6677 44  7 40 10  0
 2  0      0 13186716   2168 1482820    0    0     0 50832 3543 3392 41  9 41  9  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13189332   2168 1471836    0    0     0  5168 4741 8116  2  0 91  7  0
 0  0      0 13197144   2168 1471836    0    0     0  1792 6206 10517  4  2 85  9  0
 0  0      0 13197144   2168 1471836    0    0     0  1532 5316 9145  5  2 85  8  0
 0  0      0 13197144   2168 1471836    0    0     0  2540 8006 13512  9  3 76 13  0
 0  0      0 13197144   2168 1471836    0    0     0  2336 8749 14686 11  2 74 13  0
 0  1      0 13197144   2168 1471836    0    0     0  3372 11190 18760 10  3 68 19  0
 0  0      0 13197144   2168 1471836    0    0     0  3280 10329 17125 13  3 67 16  0
 2  0      0 13197144   2168 1471840    0    0     0  3320 7659 11833 10  3 69 18  0
 0  0      0 13196920   2168 1471844    0    0     0  4408 7478 11858  9  3 72 16  0
 0  0      0 13196920   2168 1471844    0    0     0  2472 8280 13589 10  3 75 13  0
 0  0      0 13196920   2168 1471844    0    0     0  2500 8415 14099 11  3 73 14  0
 1  0      0 13227416   2168 1471844    0    0     0 18084 10361 16952 17  3 62 18  0
 2  0      0 13233652   2168 1480780    0    0     0 24972 5078 7878 23  5 63  8  0
 1  1      0 13317060   2168 1486024    0    0     0 43512 3359 3493 41  7 36 15  0
 0  1      0 13330600   2168 1474984    0    0     0 18344 5088 8488 11  4 77  8  0
 3  1      0 13306500   2168 1474984    0    0     0 16752 6145 9576 15  5 71 10  0
 1  0      0 13343544   2168 1483496    0    0     0 30424 7929 12585 21  6 56 17  0
 2  0      0 13345448   2168 1477372    0    0     0 38572 4795 4854 47  9 31 13  0
 2  1      0 13324996   2168 1477240    0    0     0 27772 4958 7989 15  6 70 10  0
 0  0      0 13364912   2168 1477240    0    0     0  4120 12634 20633 12  6 60 23  0
 1  0      0 13345004   2168 1483956    0    0     0 37768 7097 11365 21  4 62 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13276968   2168 1499116    0    0     0 39912 4318 5160 40 11 35 14  0
 0  0      0 13273688   2168 1477696    0    0     0 43888 4699 4003 36  9 46 10  0
 2  0      0 13273688   2168 1477700    0    0     0 16988 6080 10072 11  1 77 11  0
 1  0      0 13324872   2168 1482824    0    0     0 27128 8927 14854 24  4 57 15  0
 1  1      0 13255120   2168 1487152    0    0     0 40676 3938 4250 42  8 36 14  0
 0  0      0 13265704   2168 1477944    0    0     0 31896 5386 8203 27  2 61 10  0
 0  0      0 13266240   2168 1477944    0    0     0 17228 7346 11516 12  4 73 11  0
 2  1      0 13282876   2168 1482524    0    0     0 26820 8162 13239 23  5 55 16  0
 1  0      0 13254172   2168 1484700    0    0     0 42360 4200 4698 39 12 34 15  0
 0  0      0 13251400   2168 1477452    0    0     0 34536 6461 8551 27  7 55 11  0
