Linux 6.1.166-197.305.amzn2023.x86_64 (ip-172-31-79-52.ec2.internal) 	04/22/26 	_x86_64_	(2 CPU)

14:41:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:41:45     all   25.26    0.00    6.84   15.79    0.00    0.53    0.00    0.00    0.00   51.58
14:41:46     all   23.74    0.00    4.04    4.55    0.00    0.00    0.00    0.00    0.00   67.68
14:41:47     all   44.06    0.00   11.88    8.91    0.00    0.00    0.00    0.00    0.00   35.15
14:41:48     all   29.90    0.00    9.80    5.88    0.00    0.00    0.00    0.00    0.00   54.41
14:41:49     all   12.95    0.00    1.55    4.66    0.00    0.52    0.00    0.00    0.00   80.31
14:41:50     all   31.16    0.00   10.05    6.53    0.00    0.50    0.00    0.00    0.00   51.76
14:41:51     all   40.43    0.00   10.11    9.57    0.00    0.00    0.00    0.00    0.00   39.89
14:41:52     all   18.56    0.00    1.55    3.61    0.00    0.00    0.00    0.00    0.00   76.29
14:41:53     all   26.53    0.00    4.59    6.12    0.00    1.02    0.00    0.00    0.00   61.73
14:41:54     all   39.50    0.00   16.00    8.50    0.00    0.00    0.00    0.00    0.00   36.00
14:41:55     all   20.83    0.00    2.08    6.77    0.00    0.00    0.00    0.00    0.00   70.31
14:41:56     all   16.00    0.00    4.00    4.00    0.00    1.00    0.00    0.00    0.00   75.00
14:41:57     all   22.17    0.00    3.94    3.45    0.00    0.00    0.00    0.00    0.00   70.44
14:41:58     all   46.39    0.00    9.28   10.82    0.00    0.00    0.00    0.00    0.00   33.51
14:41:59     all   27.72    0.00    4.95    3.47    0.00    0.00    0.00    0.00    0.00   63.86
14:42:00     all   18.00    0.00    4.00    2.00    0.00    1.00    0.00    0.00    0.00   75.00
14:42:01     all   47.15    0.00   10.36    6.22    0.00    0.52    0.00    0.00    0.00   35.75
14:42:02     all   32.84    0.00    8.96    5.97    0.00    0.00    0.00    0.00    0.00   52.24
14:42:03     all   18.91    0.00    2.99    4.48    0.00    0.50    0.00    0.00    0.00   73.13
14:42:04     all   29.29    0.00    2.53    3.03    0.00    0.00    0.00    0.00    0.00   65.15
14:42:05     all   43.23    0.00   12.50    9.38    0.00    0.52    0.00    0.00    0.00   34.38
14:42:06     all   21.24    0.00    2.59    3.63    0.00    1.04    0.00    0.00    0.00   71.50
14:42:07     all   25.26    0.00    4.64    6.19    0.00    0.52    0.00    0.00    0.00   63.40
14:42:08     all   47.03    0.00   11.39    8.91    0.00    0.00    0.00    0.00    0.00   32.67
14:42:09     all   27.27    0.00    5.05    6.57    0.00    1.01    0.00    0.00    0.00   60.10
14:42:10     all   26.63    0.00    2.51    5.53    0.00    0.50    0.00    0.00    0.00   64.82
14:42:11     all   43.46    0.00   10.99    8.90    0.00    0.00    0.00    0.00    0.00   36.65
14:42:12     all   24.50    0.00    6.00    4.00    0.00    1.00    0.00    0.00    0.00   64.50
14:42:13     all   14.00    0.00    3.50    2.00    0.00    0.00    0.00    0.00    0.00   80.50
14:42:14     all   31.31    0.00    3.27    5.14    0.00    0.00    0.00    0.00    0.00   60.28
14:42:15     all   52.86    0.00   11.43    8.57    0.00    0.00    0.00    0.00    0.00   27.14
14:42:16     all   21.18    0.00    8.87    5.91    0.00    0.00    0.00    0.00    0.00   64.04
14:42:17     all   24.62    0.00    2.05    6.15    0.00    0.51    0.00    0.00    0.00   66.67
14:42:18     all   38.12    0.00    5.45    3.47    0.00    0.00    0.00    0.00    0.00   52.97
14:42:19     all   48.53    0.00    2.94    3.92    0.00    0.00    0.00    0.00    0.00   44.61
14:42:20     all    7.30    0.00    2.25    6.18    0.00    0.56    0.00    0.00    0.00   83.71
14:42:21     all    9.24    0.00    2.17    4.35    0.00    0.00    0.00    0.00    0.00   84.24
14:42:22     all   16.67    0.00    2.08    6.25    0.00    1.04    0.00    0.00    0.00   73.96
14:42:23     all    7.25    0.00    3.63    4.66    0.00    0.52    0.00    0.00    0.00   83.94
14:42:24     all   42.79    0.00    5.97    5.47    0.00    0.50    0.00    0.00    0.00   45.27
14:42:25     all   13.90    0.00    2.67    4.28    0.00    0.53    0.00    0.00    0.00   78.61
14:42:26     all   48.74    0.00    6.53   10.05    0.00    0.00    0.00    0.00    0.00   34.67
14:42:27     all   42.42    0.00    7.07    7.07    0.00    0.00    0.00    0.00    0.00   43.43
14:42:28     all   24.88    0.00    4.39    5.85    0.00    0.98    0.00    0.00    0.00   63.90
14:42:29     all   31.03    0.00    6.40    6.40    0.00    0.00    0.00    0.00    0.00   56.16
14:42:30     all   50.00    0.00   10.40   10.40    0.00    0.00    0.00    0.00    0.00   29.21
14:42:31     all   13.99    0.00    6.22    9.33    0.00    0.00    0.00    0.00    0.00   70.47
14:42:32     all    9.64    0.00    4.06    4.57    0.00    0.51    0.00    0.00    0.00   81.22
14:42:33     all   38.86    0.00   11.40    5.18    0.00    0.00    0.00    0.00    0.00   44.56
14:42:34     all   32.67    0.00    9.90    4.95    0.00    0.50    0.00    0.00    0.00   51.98
14:42:35     all   14.29    0.00    1.53    2.55    0.00    0.00    0.00    0.00    0.00   81.63
14:42:36     all   38.69    0.00    6.53    4.02    0.00    1.01    0.00    0.00    0.00   49.75
14:42:37     all   46.73    0.00   15.08    5.03    0.00    0.00    0.00    0.00    0.00   33.17
14:42:38     all   23.00    0.00    4.69    2.35    0.00    0.47    0.00    0.00    0.00   69.48
14:42:39     all   17.73    0.00    3.45    1.97    0.00    0.99    0.00    0.00    0.00   75.86
14:42:40     all   35.05    0.00    5.67    4.12    0.00    0.52    0.00    0.00    0.00   54.64
14:42:41     all   44.22    0.00   13.57    7.54    0.00    0.50    0.00    0.00    0.00   34.17
14:42:42     all   14.42    0.00    0.96    5.29    0.00    0.00    0.00    0.00    0.00   79.33
14:42:43     all   28.04    0.00    4.76    4.23    0.00    0.00    0.00    0.00    0.00   62.96
14:42:44     all   49.50    0.00    9.50    9.00    0.00    0.00    0.00    0.00    0.00   32.00
14:42:45     all   21.67    0.00    4.43    4.43    0.00    0.49    0.00    0.00    0.00   68.97
14:42:46     all   14.06    0.00    3.12    4.17    0.00    0.52    0.00    0.00    0.00   78.12
14:42:47     all   32.31    0.00    1.54    3.59    0.00    0.00    0.00    0.00    0.00   62.56
14:42:48     all   41.15    0.00    9.38    9.90    0.00    0.00    0.00    0.00    0.00   39.58
14:42:49     all   36.06    0.00    5.29    5.29    0.00    0.00    0.00    0.00    0.00   53.37
14:42:50     all   25.47    0.00    3.77    5.19    0.00    0.47    0.00    0.00    0.00   65.09
14:42:51     all   44.66    0.00    9.22    6.80    0.00    0.00    0.00    0.00    0.00   39.32
14:42:52     all   50.00    0.00    6.44    8.42    0.00    0.99    0.00    0.00    0.00   34.16
14:42:53     all   13.27    0.00    0.51    4.08    0.00    0.00    0.00    0.00    0.00   82.14
14:42:54     all   15.02    0.00    2.82    1.41    0.00    0.47    0.00    0.00    0.00   80.28
14:42:55     all   42.05    0.00   11.79    8.21    0.00    0.00    0.00    0.00    0.00   37.95
14:42:56     all   36.27    0.00    4.15    5.70    0.00    0.00    0.00    0.00    0.00   53.89
14:42:57     all   14.07    0.00    2.51    3.52    0.00    0.00    0.00    0.00    0.00   79.90
14:42:58     all   35.20    0.00    3.57    4.59    0.00    0.00    0.00    0.00    0.00   56.63
14:42:59     all   49.76    0.00    8.78    8.29    0.00    0.00    0.00    0.00    0.00   33.17
14:43:00     all   44.78    0.00    6.47    4.98    0.00    0.00    0.00    0.00    0.00   43.78
14:43:01     all   18.27    0.00    2.03    4.06    0.00    0.51    0.00    0.00    0.00   75.13
14:43:02     all   23.96    0.00    1.56    2.08    0.00    0.00    0.00    0.00    0.00   72.40
14:43:03     all   36.32    0.00    8.46    3.98    0.00    0.00    0.00    0.00    0.00   51.24
14:43:04     all   34.67    0.00    8.04    7.54    0.00    0.00    0.00    0.00    0.00   49.75
14:43:05     all   22.00    0.00    3.00    2.50    0.00    0.00    0.00    0.00    0.00   72.50
14:43:06     all   31.44    0.00    3.09    2.58    0.00    0.00    0.00    0.00    0.00   62.89
14:43:07     all   49.48    0.00   10.82    6.70    0.00    0.52    0.00    0.00    0.00   32.47
14:43:08     all   39.59    0.00   13.71    6.60    0.00    0.00    0.00    0.00    0.00   40.10
14:43:09     all   10.89    0.00    1.49    1.98    0.00    0.00    0.00    0.00    0.00   85.64
14:43:10     all   15.10    0.00    2.08    3.65    0.00    0.52    0.00    0.00    0.00   78.65
14:43:11     all   38.05    0.00   11.71    4.88    0.00    0.49    0.00    0.00    0.00   44.88
14:43:12     all   29.53    0.00    7.25    4.66    0.00    0.00    0.00    0.00    0.00   58.55
14:43:13     all   20.40    0.00    2.99    2.99    0.00    0.00    0.00    0.00    0.00   73.63
14:43:14     all   40.30    0.00   10.45    6.97    0.00    0.00    0.00    0.00    0.00   42.29
14:43:15     all   45.69    0.00    7.61    7.61    0.00    0.51    0.00    0.00    0.00   38.58
14:43:16     all   14.36    0.00    0.51    4.10    0.00    0.00    0.00    0.00    0.00   81.03
14:43:17     all   13.73    0.00    2.94    1.96    0.00    0.00    0.00    0.00    0.00   81.37
14:43:18     all   48.99    0.00    8.59    8.08    0.00    1.52    0.00    0.00    0.00   32.83
14:43:19     all   36.36    0.00    7.07    8.59    0.00    0.00    0.00    0.00    0.00   47.98
14:43:20     all   15.66    0.00    1.52    2.53    0.00    0.51    0.00    0.00    0.00   79.80
14:43:21     all   42.29    0.00    8.46    5.47    0.00    0.50    0.00    0.00    0.00   43.28
14:43:22     all   45.36    0.00    8.76    8.25    0.00    0.52    0.00    0.00    0.00   37.11
14:43:23     all   12.56    0.00    3.86    3.86    0.00    0.48    0.00    0.00    0.00   79.23
14:43:24     all   56.86    0.00    2.94    4.90    0.00    0.98    0.00    0.00    0.00   34.31
14:43:25     all   44.16    0.00    3.55    4.57    0.00    0.00    0.00    0.00    0.00   47.72
14:43:26     all   30.69    0.00    2.12    6.35    0.00    0.00    0.00    0.00    0.00   60.85
14:43:27     all    7.18    0.00    1.10    4.97    0.00    0.00    0.00    0.00    0.00   86.74
14:43:28     all   22.55    0.00    1.47    6.37    0.00    0.49    0.00    0.00    0.00   69.12
14:43:29     all   13.33    0.00    1.54    5.13    0.00    0.00    0.00    0.00    0.00   80.00
14:43:30     all   26.34    0.00    5.37    5.37    0.00    0.98    0.00    0.00    0.00   61.95
14:43:31     all   29.00    0.00    4.50    6.50    0.00    0.50    0.00    0.00    0.00   59.50
14:43:32     all   17.50    0.00    5.50    3.50    0.00    0.00    0.00    0.00    0.00   73.50
14:43:33     all   42.35    0.00    9.18    5.61    0.00    0.00    0.00    0.00    0.00   42.86
14:43:34     all   33.51    0.00   11.86    9.28    0.00    0.52    0.00    0.00    0.00   44.85
14:43:35     all   17.24    0.00    0.99    3.45    0.00    0.49    0.00    0.00    0.00   77.83
14:43:36     all   15.90    0.00    4.62    3.59    0.00    0.51    0.00    0.00    0.00   75.38
14:43:37     all   41.41    0.00   10.61    9.09    0.00    0.00    0.00    0.00    0.00   38.89
14:43:38     all   30.46    0.00    6.60    6.09    0.00    1.02    0.00    0.00    0.00   55.84
14:43:39     all   12.50    0.00    2.00    3.00    0.00    0.00    0.00    0.00    0.00   82.50
14:43:40     all   47.72    0.00    6.60    8.63    0.00    0.51    0.00    0.00    0.00   36.55
14:43:41     all   43.94    0.00   11.62    6.06    0.00    0.00    0.00    0.00    0.00   38.38
14:43:42     all   16.99    0.00    1.94    4.37    0.00    0.00    0.00    0.00    0.00   76.70
14:43:43     all   12.94    0.00    1.99    2.99    0.00    0.00    0.00    0.00    0.00   82.09
14:43:44     all   43.43    0.00   12.63    7.58    0.00    0.00    0.00    0.00    0.00   36.36
14:43:45     all   29.61    0.00    7.77    5.83    0.00    0.00    0.00    0.00    0.00   56.80
